NO,우선순위,K,lon,lat,id,시,구,도로명주소
65,10,11,126.8164618,37.58476484,2939,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
66,11,11,127.0737078,37.55983509,2938,서울특별시,광진구,서울특별시 광진구 동일로 322
67,1,12,127.1034226,37.50766,2937,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
68,2,12,127.0668206,37.57603432,2936,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
69,3,12,127.0356428,37.49028717,2935,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
70,4,12,127.0169049,37.58936078,2934,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
71,5,12,127.0785766,37.49946173,2933,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
72,6,12,126.9060274,37.57353209,2932,서울특별시,서대문구,서울특별시 서대문구 수색로 123
73,7,12,127.0589677,37.56338635,2931,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
74,8,12,126.8608626,37.55797338,2930,서울특별시,강서구,서울특별시 강서구 양천로 556
75,9,12,126.9022103,37.48427922,2929,서울특별시,구로구,서울특별시 구로구 시흥대로 573
76,10,12,126.8771851,37.50127567,2928,서울특별시,구로구,서울특별시 구로구 경인로 531
77,11,12,126.8164618,37.58476484,2927,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
78,12,12,127.0737078,37.55983509,2926,서울특별시,광진구,서울특별시 광진구 동일로 322
79,1,13,127.1034226,37.50766,2925,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
80,2,13,127.0668206,37.57603432,2924,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
81,3,13,127.0356428,37.49028717,2923,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
82,4,13,127.0169049,37.58936078,2922,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
83,5,13,127.0785766,37.49946173,2921,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
84,6,13,126.9060274,37.57353209,2920,서울특별시,서대문구,서울특별시 서대문구 수색로 123
85,7,13,126.8475203,37.52995871,2919,서울특별시,강서구,서울특별시 강서구 강서로 21
86,8,13,127.0589677,37.56338635,2918,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
87,9,13,126.8608626,37.55797338,2917,서울특별시,강서구,서울특별시 강서구 양천로 556
88,10,13,126.9022103,37.48427922,2916,서울특별시,구로구,서울특별시 구로구 시흥대로 573
