num,lon,lat
1,127.058973,37.56248502
2,127.058973,37.56248502
2,126.8608626,37.55797338
3,127.0751929,37.49764689
3,127.058973,37.56248502
3,126.8608626,37.55797338
4,127.0751929,37.49764689
4,126.9060274,37.57353209
4,127.058973,37.56248502
4,126.8608626,37.55797338
5,127.0751929,37.49764689
5,126.9060274,37.57353209
5,126.8771776,37.50217699
5,127.058973,37.56248502
5,126.8608626,37.55797338
6,127.0751929,37.49764689
6,126.9060274,37.57353209
6,126.8771776,37.50217699
6,126.9022103,37.48427922
6,127.058973,37.56248502
6,126.8608626,37.55797338
7,127.1034226,37.50766
7,127.0751929,37.49764689
7,126.9060274,37.57353209
7,126.8771776,37.50217699
7,126.9022103,37.48427922
7,127.058973,37.56248502
7,126.8608626,37.55797338
8,127.1034226,37.50766
8,127.0751929,37.49764689
8,126.9060274,37.57353209
8,126.8771776,37.50217699
8,126.9022103,37.48427922
8,127.058973,37.56248502
8,126.8608626,37.55797338
8,126.8164618,37.58476484
9,127.1034226,37.50766
9,127.0668206,37.57603432
9,127.0751929,37.49764689
9,126.9060274,37.57353209
9,126.8771776,37.50217699
9,126.9022103,37.48427922
9,127.058973,37.56248502
9,126.8608626,37.55797338
9,126.8164618,37.58476484
10,127.1034226,37.50766
10,127.0668206,37.57603432
10,127.129303,37.53658752
10,127.0751929,37.49764689
10,126.9060274,37.57353209
10,126.8771776,37.50217699
10,126.9022103,37.48427922
10,127.058973,37.56248502
10,126.8608626,37.55797338
10,126.8164618,37.58476484
11,127.1034226,37.50766
11,127.0668206,37.57603432
11,127.129303,37.53658752
11,126.8602541,37.49667843
11,127.0751929,37.49764689
11,126.9060274,37.57353209
11,126.8771776,37.50217699
11,126.9022103,37.48427922
11,127.058973,37.56248502
11,126.8608626,37.55797338
11,126.8164618,37.58476484
12,127.1034226,37.50766
12,127.0668206,37.57603432
12,127.129303,37.53658752
12,126.8602541,37.49667843
12,127.0751929,37.49764689
12,126.9060274,37.57353209
12,126.8771776,37.50217699
12,126.9022103,37.48427922
12,127.058973,37.56248502
12,126.8608626,37.55797338
12,126.8164618,37.58476484
12,127.0737078,37.55983509
13,127.1034226,37.50766
13,127.0668206,37.57603432
13,127.129303,37.53658752
13,126.8602541,37.49667843
13,127.0751929,37.49764689
13,126.9060274,37.57353209
13,126.8771776,37.50217699
13,126.9022103,37.48427922
13,126.8475203,37.52995871
13,127.058973,37.56248502
13,126.8608626,37.55797338
13,126.8164618,37.58476484
13,127.0737078,37.55983509
14,127.1034226,37.50766
14,127.0668206,37.57603432
14,127.129303,37.53658752
14,126.8602541,37.49667843
14,127.0751929,37.49764689
14,126.9060274,37.57353209
14,126.8771776,37.50217699
14,126.9022103,37.48427922
14,126.8475203,37.52995871
14,127.0169049,37.58936078
14,127.058973,37.56248502
14,126.8608626,37.55797338
14,126.8164618,37.58476484
14,127.0737078,37.55983509
15,127.1034226,37.50766
15,127.0668206,37.57603432
15,127.129303,37.53658752
15,126.8602541,37.49667843
15,127.0751929,37.49764689
15,126.9060274,37.57353209
15,126.8771776,37.50217699
15,126.9022103,37.48427922
15,126.8475203,37.52995871
15,127.0169049,37.58936078
15,127.058973,37.56248502
15,126.8270683,37.53885739
15,126.8608626,37.55797338
15,126.8164618,37.58476484
15,127.0737078,37.55983509
16,127.1034226,37.50766
16,127.0668206,37.57603432
16,127.129303,37.53658752
16,126.8602541,37.49667843
16,127.0751929,37.49764689
16,126.9060274,37.57353209
16,126.8771776,37.50217699
16,126.9022103,37.48427922
16,126.8475203,37.52995871
16,127.0169049,37.58936078
16,127.058973,37.56248502
16,126.8270683,37.53885739
16,126.8608626,37.55797338
16,126.8316682,37.53077141
16,126.8164618,37.58476484
16,127.0737078,37.55983509
17,127.1034226,37.50766
