NO,K,lon,lat,id,시,구,도로명주소
98,14,126.8475203,37.52995871,2906,서울특별시,강서구,서울특별시 강서구 강서로 21
99,14,127.129303,37.53658752,2905,서울특별시,강동구,서울특별시 강동구 천호대로 1056
100,14,127.0589677,37.56338635,2904,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
101,14,126.8608626,37.55797338,2903,서울특별시,강서구,서울특별시 강서구 양천로 556
102,14,126.9022103,37.48427922,2902,서울특별시,구로구,서울특별시 구로구 시흥대로 573
103,14,126.8771851,37.50127567,2901,서울특별시,구로구,서울특별시 구로구 경인로 531
104,14,126.8164618,37.58476484,2900,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
105,14,127.0737078,37.55983509,2899,서울특별시,광진구,서울특별시 광진구 동일로 322
106,15,127.1034226,37.50766,2898,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
107,15,127.0668206,37.57603432,2897,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
108,15,127.0356428,37.49028717,2896,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
109,15,127.0169049,37.58936078,2895,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
110,15,127.0785766,37.49946173,2894,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
111,15,126.9060274,37.57353209,2893,서울특별시,서대문구,서울특별시 서대문구 수색로 123
112,15,126.8475203,37.52995871,2892,서울특별시,강서구,서울특별시 강서구 강서로 21
113,15,127.129303,37.53658752,2891,서울특별시,강동구,서울특별시 강동구 천호대로 1056
114,15,127.0589677,37.56338635,2890,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
115,15,126.8270683,37.53885739,2889,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
116,15,126.8608626,37.55797338,2888,서울특별시,강서구,서울특별시 강서구 양천로 556
117,15,126.9022103,37.48427922,2887,서울특별시,구로구,서울특별시 구로구 시흥대로 573
118,15,126.8771851,37.50127567,2886,서울특별시,구로구,서울특별시 구로구 경인로 531
119,15,126.8164618,37.58476484,2885,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
120,15,127.0737078,37.55983509,2884,서울특별시,광진구,서울특별시 광진구 동일로 322
121,16,127.1034226,37.50766,2883,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
122,16,127.0668206,37.57603432,2882,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
123,16,127.0356428,37.49028717,2881,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
124,16,127.0169049,37.58936078,2880,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
125,16,127.0785766,37.49946173,2879,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
126,16,126.9060274,37.57353209,2878,서울특별시,서대문구,서울특별시 서대문구 수색로 123
