,지번주소,위도,경도
0,서울특별시 종로구 창신동 436-89,37.5698252,127.0135153
1,서울특별시 종로구 창신동 436-90,37.5700259,127.0118802
2,서울특별시 종로구 창신동 436-91,37.5698903,127.0110912
3,서울특별시 종로구 창신동 436-92,37.5700172,127.0106064
4,서울특별시 종로구 창신동 436-93,37.5704868,127.0115325
5,서울특별시 종로구 창신동 437-5,37.5706730,127.0107868
6,서울특별시 종로구 창신동 437-8,37.5706594,127.0107239
7,서울특별시 종로구 창신동 437-9,37.5706724,127.0113508
8,서울특별시 종로구 창신동 437-10,37.5706856,127.0109489
9,서울특별시 종로구 창신동 437-12,37.5706900,127.0108667
10,서울특별시 종로구 창신동 438-2,37.5704261,127.0102639
11,서울특별시 종로구 창신동 438-12,37.5701952,127.0105601
12,서울특별시 종로구 창신동 439-7,37.5703857,127.0100859
13,서울특별시 종로구 창신동 440-1,37.5706716,127.0099049
14,서울특별시 종로구 창신동 440-8,37.5704701,127.0098263
15,서울특별시 종로구 창신동 441-1,37.5708572,127.0098365
16,서울특별시 종로구 창신동 442-1,37.5712924,127.0099403
17,서울특별시 종로구 창신동 442-2,37.5709763,127.0101351
18,서울특별시 종로구 창신동 444-2,37.5706890,127.0104534
19,서울특별시 종로구 창신동 444-13,37.5709879,127.0104263
20,서울특별시 종로구 창신동 446-2,37.5708550,127.0106206
21,서울특별시 종로구 창신동 446-4,37.5707863,127.0107839
22,서울특별시 종로구 창신동 446-9,37.5708222,127.0107880
23,서울특별시 종로구 창신동 447-16,37.5707022,127.0111232
24,서울특별시 종로구 창신동 447-22,37.5707186,127.0113660
25,서울특별시 종로구 창신동 450-5,37.5710962,127.0120620
26,서울특별시 종로구 창신동 455-1,37.5718241,127.0135510
27,서울특별시 종로구 창신동 455-3,37.5719480,127.0129988
28,서울특별시 종로구 창신동 455-7,37.5706225,127.0138532
29,서울특별시 종로구 창신동 455-9,37.5719997,127.0127416
30,서울특별시 종로구 창신동 455-10,37.5719794,127.0126678
31,서울특별시 종로구 창신동 455-12,37.5713679,127.0149121
32,서울특별시 종로구 창신동 455-16,37.5714530,127.0143816
33,서울특별시 종로구 창신동 455-26,37.5713872,127.0146869
34,서울특별시 종로구 창신동 457-7,37.5710887,127.0132059
35,서울특별시 종로구 창신동 457-41,37.5714495,127.0129021
36,서울특별시 종로구 창신동 459-7,37.5712534,127.0119959
37,서울특별시 종로구 창신동 459-15,37.5713485,127.0121423
38,서울특별시 종로구 창신동 459-31,37.5712089,127.0123108
39,서울특별시 종로구 창신동 459-53,37.5711382,127.0125583
40,서울특별시 종로구 창신동 460-9,37.5711102,127.0116738
41,서울특별시 종로구 창신동 461-5,37.5710949,127.0112142
42,서울특별시 종로구 창신동 463-2,37.5714374,127.0105312
43,서울특별시 종로구 창신동 463-5,37.5709146,127.0105471
44,서울특별시 종로구 창신동 463-6,37.5709420,127.0105576
45,서울특별시 종로구 창신동 464-15,37.5713087,127.0109804
46,서울특별시 종로구 창신동 470-1,37.5711302,127.0101453
47,서울특별시 종로구 창신동 472-0,37.5713702,127.0099547
48,서울특별시 종로구 창신동 487-4,37.5713182,127.0105230
49,서울특별시 종로구 창신동 487-5,37.5715353,127.0106951
50,서울특별시 종로구 창신동 492-1,37.5717654,127.0112663
51,서울특별시 종로구 창신동 507-2,37.5719258,127.0120712
52,서울특별시 종로구 창신동 527-1,37.5720001,127.0125009
53,서울특별시 종로구 창신동 530-2,37.5721891,127.0122680
54,서울특별시 종로구 창신동 533-2,37.5721407,127.0120571
55,서울특별시 종로구 창신동 538-2,37.5721011,127.0118512
56,서울특별시 종로구 창신동 561-5,37.5719363,127.0104204
57,서울특별시 종로구 창신동 563-4,37.5717766,127.0103558
58,서울특별시 종로구 창신동 563-5,37.5718949,127.0104187
59,서울특별시 종로구 창신동 565-3,37.5721756,127.0106362
60,서울특별시 종로구 창신동 570-4,37.5729941,127.0107374
61,서울특별시 종로구 창신동 570-14,37.5721248,127.0097054
62,서울특별시 종로구 창신동 572-4,37.5722700,127.0108053
63,서울특별시 종로구 창신동 575-1,37.5726420,127.0108001
64,서울특별시 종로구 창신동 580-34,37.5723927,127.0115539
65,서울특별시 종로구 창신동 580-35,37.5723359,127.0113635
66,서울특별시 종로구 창신동 581-6,37.5728450,127.0113265
67,서울특별시 종로구 창신동 581-16,37.5727052,127.0112887
68,서울특별시 종로구 창신동 581-20,37.5729173,127.0114868
69,서울특별시 종로구 창신동 581-33,37.5728309,127.0115772
70,서울특별시 종로구 창신동 582-20,37.5734711,127.0107083
71,서울특별시 종로구 창신동 582-31,37.5733499,127.0107000
72,서울특별시 종로구 창신동 582-32,37.5732016,127.0113458
73,서울특별시 종로구 창신동 582-59,37.5734474,127.0107186
74,서울특별시 종로구 창신동 583-16,37.5741113,127.0109577
75,서울특별시 종로구 창신동 583-58,37.5744817,127.0109398
76,서울특별시 종로구 창신동 583-59,37.5750165,127.0110159
77,서울특별시 종로구 창신동 583-93,37.5751729,127.0107710
78,서울특별시 종로구 창신동 583-103,37.5754165,127.0106255
79,서울특별시 종로구 창신동 583-105,37.5737870,127.0106275
80,서울특별시 종로구 창신동 583-107,37.5752933,127.0106297
81,서울특별시 종로구 창신동 583-111,37.5751869,127.0106256
82,서울특별시 종로구 창신동 583-113,37.5747749,127.0106758
83,서울특별시 종로구 창신동 583-116,37.5749936,127.0111037
84,서울특별시 종로구 창신동 583-120,37.5749597,127.0110271
85,서울특별시 종로구 창신동 583-121,37.5747996,127.0111953
86,서울특별시 종로구 창신동 583-122,37.5747420,127.0109838
87,서울특별시 종로구 창신동 583-123,37.5749821,127.0109945
88,서울특별시 종로구 창신동 583-124,37.5749751,127.0109568
89,서울특별시 종로구 창신동 583-125,37.5749533,127.0109381
90,서울특별시 종로구 창신동 583-127,37.5749569,127.0108771
91,서울특별시 종로구 창신동 583-129,37.5749703,127.0110095
92,서울특별시 종로구 창신동 583-130,37.5738215,127.0106406
93,서울특별시 종로구 창신동 583-132,37.5753163,127.0106482
94,서울특별시 종로구 창신동 583-136,37.5750507,127.0106442
95,서울특별시 종로구 창신동 583-148,37.5736527,127.0109645
96,서울특별시 종로구 창신동 584-2,37.5747874,127.0106484
97,서울특별시 종로구 창신동 586-1,37.5741538,127.0106577
98,서울특별시 종로구 창신동 592-3,37.5749367,127.0107550
99,서울특별시 종로구 창신동 593-24,37.5754098,127.0108040
100,서울특별시 종로구 창신동 593-31,37.5758329,127.0107270
101,서울특별시 종로구 창신동 594-9,37.5759845,127.0106112
102,서울특별시 종로구 창신동 594-16,37.5759292,127.0105002
103,서울특별시 종로구 창신동 595-269,37.5750733,127.0119423
104,서울특별시 종로구 창신동 595-307,37.5764424,127.0114180
105,서울특별시 종로구 창신동 595-311,37.5763523,127.0110457
106,서울특별시 종로구 창신동 595-324,37.5772417,127.0095693
107,서울특별시 종로구 창신동 595-327,37.5754787,127.0111349
108,서울특별시 종로구 창신동 595-332,37.5750233,127.0112591
109,서울특별시 종로구 창신동 595-340,37.5773004,127.0095175
110,서울특별시 종로구 창신동 596-9,37.5768317,127.0100030
111,서울특별시 종로구 창신동 596-10,37.5767739,127.0101521
112,서울특별시 종로구 창신동 596-11,37.5767607,127.0101965
113,서울특별시 종로구 창신동 596-15,37.5770162,127.0096715
114,서울특별시 종로구 창신동 598-4,37.5771999,127.0096067
115,서울특별시 종로구 창신동 598-5,37.5770961,127.0096240
116,서울특별시 종로구 창신동 601-9,37.5777263,127.0098820
117,서울특별시 종로구 창신동 602-2,37.5772681,127.0096928
118,서울특별시 종로구 창신동 605-2,37.5775961,127.0093564
119,서울특별시 종로구 창신동 606-11,37.5775356,127.0093918
120,서울특별시 종로구 창신동 606-12,37.5776049,127.0092954
121,서울특별시 종로구 창신동 606-13,37.5776038,127.0093232
122,서울특별시 종로구 창신동 606-14,37.5775902,127.0093375
123,서울특별시 종로구 창신동 606-16,37.5775506,127.0093067
124,서울특별시 종로구 창신동 608-3,37.5782202,127.0097034
125,서울특별시 종로구 창신동 608-33,37.5782108,127.0097492
126,서울특별시 종로구 창신동 609-12,37.5779767,127.0091651
127,서울특별시 종로구 창신동 609-13,37.5782304,127.0088090
128,서울특별시 종로구 창신동 609-14,37.5784554,127.0088172
129,서울특별시 종로구 창신동 609-16,37.5782632,127.0090034
130,서울특별시 종로구 창신동 609-18,37.5779337,127.0091690
131,서울특별시 종로구 창신동 609-19,37.5783280,127.0091012
132,서울특별시 종로구 창신동 609-20,37.5776785,127.0092530
133,서울특별시 종로구 창신동 610-29,37.5781983,127.0095018
134,서울특별시 종로구 창신동 610-63,37.5781912,127.0094925
135,서울특별시 종로구 창신동 611-4,37.5787449,127.0092041
136,서울특별시 종로구 창신동 611-20,37.5788219,127.0092355
137,서울특별시 종로구 창신동 611-36,37.5802188,127.0103062
138,서울특별시 종로구 창신동 611-38,37.5796800,127.0095880
139,서울특별시 종로구 창신동 611-39,37.5801558,127.0101136
140,서울특별시 종로구 창신동 611-41,37.5799450,127.0098237
141,서울특별시 종로구 창신동 611-45,37.5801505,127.0102290
142,서울특별시 종로구 창신동 611-51,37.5801150,127.0105479
143,서울특별시 종로구 창신동 611-60,37.5797396,127.0096094
144,서울특별시 종로구 창신동 611-61,37.5795714,127.0095619
145,서울특별시 종로구 창신동 611-81,37.5792955,127.0096533
146,서울특별시 종로구 창신동 611-89,37.5794066,127.0095399
147,서울특별시 종로구 창신동 611-91,37.5792189,127.0094226
148,서울특별시 종로구 창신동 611-93,37.5791676,127.0093623
149,서울특별시 종로구 창신동 612-6,37.5791285,127.0093310
150,서울특별시 종로구 창신동 613-3,37.5786182,127.0091461
151,서울특별시 종로구 창신동 614-5,37.5788398,127.0091735
152,서울특별시 종로구 창신동 614-6,37.5788238,127.0091661
153,서울특별시 종로구 창신동 614-7,37.5787385,127.0091509
154,서울특별시 종로구 창신동 614-8,37.5786907,127.0091494
155,서울특별시 종로구 창신동 615-33,37.5802958,127.0098909
156,서울특별시 종로구 창신동 615-35,37.5790237,127.0092793
157,서울특별시 종로구 창신동 615-36,37.5801614,127.0100726
158,서울특별시 종로구 창신동 615-38,37.5794094,127.0095105
159,서울특별시 종로구 창신동 615-39,37.5802509,127.0096564
160,서울특별시 종로구 창신동 615-40,37.5803696,127.0090520
161,서울특별시 종로구 창신동 615-45,37.5793742,127.0094312
162,서울특별시 종로구 창신동 615-57,37.5803343,127.0092468
163,서울특별시 종로구 창신동 615-147,37.5795550,127.0094923
164,서울특별시 종로구 창신동 615-152,37.5787336,127.0091659
165,서울특별시 종로구 창신동 615-153,37.5802542,127.0099689
166,서울특별시 종로구 창신동 615-167,37.5800659,127.0088444
167,서울특별시 종로구 창신동 615-169,37.5797265,127.0086859
168,서울특별시 종로구 창신동 615-170,37.5797198,127.0087169
169,서울특별시 종로구 창신동 615-171,37.5795624,127.0085376
170,서울특별시 종로구 창신동 615-173,37.5791189,127.0081953
171,서울특별시 종로구 창신동 615-176,37.5796441,127.0086131
172,서울특별시 종로구 창신동 615-180,37.5794188,127.0083847
173,서울특별시 종로구 창신동 615-187,37.5791834,127.0081889
174,서울특별시 종로구 창신동 615-193,37.5794847,127.0083652
175,서울특별시 종로구 창신동 615-194,37.5787599,127.0081318
176,서울특별시 종로구 창신동 615-197,37.5784954,127.0081039
177,서울특별시 종로구 창신동 615-198,37.5784917,127.0081654
178,서울특별시 종로구 창신동 615-199,37.5767679,127.0086153
179,서울특별시 종로구 창신동 615-200,37.5775852,127.0083997
180,서울특별시 종로구 창신동 615-201,37.5762257,127.0085114
181,서울특별시 종로구 창신동 615-202,37.5772421,127.0087292
182,서울특별시 종로구 창신동 615-203,37.5759060,127.0085345
183,서울특별시 종로구 창신동 615-204,37.5755413,127.0087164
184,서울특별시 종로구 창신동 615-205,37.5799146,127.0088394
185,서울특별시 종로구 창신동 615-208,37.5804066,127.0088826
186,서울특별시 종로구 창신동 615-228,37.5795516,127.0084739
187,서울특별시 종로구 창신동 615-239,37.5788955,127.0081451
188,서울특별시 종로구 창신동 615-242,37.5763034,127.0085514
189,서울특별시 종로구 창신동 615-243,37.5755308,127.0087076
190,서울특별시 종로구 창신동 615-244,37.5789741,127.0091388
191,서울특별시 종로구 창신동 615-257,37.5789103,127.0089795
192,서울특별시 종로구 창신동 615-259,37.5785985,127.0090667
193,서울특별시 종로구 창신동 615-263,37.5790133,127.0092822
