,지번주소,위도,경도
0,서울특별시 성동구 용답동 213-0,37.5567659,127.0516914
1,서울특별시 성동구 용답동 214-0,37.5583160,127.0516668
2,서울특별시 성동구 용답동 215-1,37.5598337,127.0514581
3,서울특별시 성동구 용답동 215-2,37.5594019,127.0521151
4,서울특별시 성동구 용답동 215-3,37.5605240,127.0504475
5,서울특별시 성동구 용답동 216-0,37.5605285,127.0511798
6,서울특별시 성동구 용답동 217-2,37.5597253,127.0519963
7,서울특별시 성동구 용답동 218-0,37.5601178,127.0516767
8,서울특별시 성동구 용답동 219-1,37.5607524,127.0514032
9,서울특별시 성동구 용답동 219-2,37.5604221,127.0516586
10,서울특별시 성동구 용답동 219-3,37.5601788,127.0516756
11,서울특별시 성동구 용답동 220-1,37.5614669,127.0511424
12,서울특별시 성동구 용답동 220-2,37.5611102,127.0508180
13,서울특별시 성동구 용답동 220-3,37.5608297,127.0503226
14,서울특별시 성동구 용답동 221-1,37.5613293,127.0514264
15,서울특별시 성동구 용답동 221-2,37.5609712,127.0512833
16,서울특별시 성동구 용답동 222-1,37.5564404,127.0533259
17,서울특별시 성동구 용답동 222-2,37.5549464,127.0514232
18,서울특별시 성동구 용답동 222-3,37.5619810,127.0512228
19,서울특별시 성동구 용답동 223-0,37.5631776,127.0566073
20,서울특별시 성동구 용답동 223-2,37.5583566,127.0550313
21,서울특별시 성동구 용답동 223-6,37.5583369,127.0553116
22,서울특별시 성동구 용답동 223-7,37.5600203,127.0564063
23,서울특별시 성동구 용답동 223-8,37.5627408,127.0578137
24,서울특별시 성동구 용답동 223-9,37.5627595,127.0577803
25,서울특별시 성동구 용답동 223-10,37.5575901,127.0545460
26,서울특별시 성동구 용답동 223-11,37.5624670,127.0561642
27,서울특별시 성동구 용답동 223-12,37.5621684,127.0560541
28,서울특별시 성동구 용답동 223-13,37.5623619,127.0564501
29,서울특별시 성동구 용답동 223-14,37.5627821,127.0567297
30,서울특별시 성동구 용답동 223-19,37.5623117,127.0575416
31,서울특별시 성동구 용답동 223-20,37.5628163,127.0564500
32,서울특별시 성동구 용답동 223-22,37.5617004,127.0560818
33,서울특별시 성동구 용답동 223-24,37.5602613,127.0564390
