,지번주소,위도,경도
0,서울특별시 성동구 하왕십리동 986-108,37.5609963,127.0302883
1,서울특별시 성동구 하왕십리동 987-3,37.5623630,127.0296413
2,서울특별시 성동구 하왕십리동 987-16,37.5622479,127.0299568
3,서울특별시 성동구 하왕십리동 989-3,37.5624124,127.0307745
4,서울특별시 성동구 하왕십리동 989-8,37.5630999,127.0306166
5,서울특별시 성동구 하왕십리동 989-31,37.5626640,127.0307097
6,서울특별시 성동구 하왕십리동 989-53,37.5626047,127.0307473
7,서울특별시 성동구 하왕십리동 989-54,37.5625245,127.0307317
8,서울특별시 성동구 하왕십리동 989-67,37.5627547,127.0307342
9,서울특별시 성동구 하왕십리동 989-68,37.5625116,127.0308917
10,서울특별시 성동구 하왕십리동 989-69,37.5628592,127.0307309
11,서울특별시 성동구 하왕십리동 989-70,37.5626930,127.0307614
12,서울특별시 성동구 하왕십리동 989-72,37.5626581,127.0308232
13,서울특별시 성동구 하왕십리동 989-73,37.5624183,127.0308147
14,서울특별시 성동구 하왕십리동 989-75,37.5622493,127.0307601
15,서울특별시 성동구 하왕십리동 989-82,37.5618460,127.0309541
16,서울특별시 성동구 하왕십리동 990-1,37.5631450,127.0281804
17,서울특별시 성동구 하왕십리동 990-6,37.5621528,127.0273629
18,서울특별시 성동구 하왕십리동 991-72,37.5613286,127.0284087
19,서울특별시 성동구 하왕십리동 992-4,37.5609161,127.0283169
20,서울특별시 성동구 하왕십리동 993-9,37.5606189,127.0288106
21,서울특별시 성동구 하왕십리동 995-12,37.5604292,127.0274064
22,서울특별시 성동구 하왕십리동 995-15,37.5604296,127.0273149
23,서울특별시 성동구 하왕십리동 995-16,37.5604150,127.0271970
24,서울특별시 성동구 하왕십리동 995-24,37.5606387,127.0272614
25,서울특별시 성동구 하왕십리동 999-146,37.5608581,127.0238672
26,서울특별시 성동구 하왕십리동 999-189,37.5610635,127.0250191
27,서울특별시 성동구 하왕십리동 999-254,37.5612743,127.0238750
28,서울특별시 성동구 하왕십리동 999-270,37.5611393,127.0238639
