사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,하이브리드(휘발유+전기),하이브리드(경유+전기),하이브리드(LPG+전기),하이브리드(CNG+전기),수소,기타연료
서울특별시 종로구 명륜3가,848,170,306,79,5,0,251,0,34,0,1,0,0,2
서울특별시 종로구 창신동,4310,824,1703,334,12,0,1320,5,103,0,1,0,0,8
서울특별시 종로구 숭인동,3709,776,1396,297,7,0,1135,1,84,3,4,0,0,6
서울특별시 종로구 교남동,235,71,58,9,1,0,81,0,12,0,2,0,0,1
서울특별시 종로구 평동,582,161,186,16,5,0,169,0,38,0,1,0,1,5
서울특별시 종로구 송월동,329,114,77,7,2,0,116,0,13,0,0,0,0,0
서울특별시 종로구 홍파동,568,175,148,18,5,0,177,0,43,0,0,0,1,1
서울특별시 종로구 교북동,294,98,93,6,3,0,82,0,12,0,0,0,0,0
서울특별시 종로구 행촌동,905,178,317,84,2,0,282,4,36,0,1,0,0,1
서울특별시 종로구 구기동,1973,565,618,81,10,0,583,0,111,0,1,0,0,4
서울특별시 종로구 평창동,4584,1457,1387,147,31,0,1293,0,251,2,1,0,3,12
서울특별시 종로구 부암동,1482,414,453,74,8,0,455,0,67,2,3,0,1,5
서울특별시 종로구 홍지동,517,132,166,20,0,0,175,0,23,1,0,0,0,0
서울특별시 종로구 신영동,1163,267,423,58,8,1,353,0,49,0,3,0,0,1
서울특별시 종로구 무악동,2804,641,970,166,12,0,855,0,151,2,0,0,4,3
서울특별시 중구 무교동,233,78,66,12,4,0,63,0,10,0,0,0,0,0
서울특별시 중구 다동,212,52,65,3,3,0,51,0,37,0,0,0,0,1
서울특별시 중구 태평로1가,1115,51,553,254,65,0,152,5,19,0,9,0,6,1
서울특별시 중구 을지로1가,128,31,53,4,1,0,37,0,1,0,0,0,0,1
서울특별시 중구 을지로2가,990,144,492,67,8,0,141,0,49,0,0,0,0,89
서울특별시 중구 남대문로1가,17,2,10,0,0,0,4,0,1,0,0,0,0,0
서울특별시 중구 삼각동,206,82,69,0,0,0,33,0,22,0,0,0,0,0
서울특별시 중구 수하동,181,40,76,1,4,0,43,0,13,2,0,0,0,2
서울특별시 중구 장교동,149,40,45,1,0,0,53,0,5,1,0,0,0,4
서울특별시 중구 수표동,417,65,212,22,27,0,86,0,4,0,0,0,1,0
서울특별시 중구 소공동,466,143,137,2,0,0,170,0,13,0,0,0,0,1
서울특별시 중구 남창동,249,55,119,14,0,0,57,0,4,0,0,0,0,0
서울특별시 중구 북창동,247,57,95,11,0,0,64,0,11,0,0,0,0,9
서울특별시 중구 태평로2가,388,50,64,2,183,0,80,0,6,0,0,0,1,2
서울특별시 중구 남대문로2가,658,17,285,42,35,0,67,0,209,0,0,0,0,3
서울특별시 중구 남대문로3가,40,4,16,0,0,0,8,0,12,0,0,0,0,0
서울특별시 중구 남대문로4가,144,31,45,0,0,0,66,0,2,0,0,0,0,0
서울특별시 중구 남대문로5가,3401,1547,1308,9,113,0,167,1,251,0,0,0,1,4
서울특별시 중구 봉래동1가,175,22,111,3,0,0,33,0,5,0,0,0,0,1
서울특별시 중구 봉래동2가,49,3,32,3,1,0,6,0,4,0,0,0,0,0
서울특별시 중구 회현동1가,1161,327,455,42,13,1,274,0,46,1,0,0,1,1
서울특별시 중구 회현동2가,1760,687,856,10,10,0,137,0,51,5,0,0,0,4
서울특별시 중구 회현동3가,48,8,19,0,0,0,21,0,0,0,0,0,0,0
서울특별시 중구 충무로1가,173,40,78,11,0,0,41,0,2,0,0,0,1,0
서울특별시 중구 충무로2가,356,114,112,12,3,0,106,1,7,0,0,0,0,1
서울특별시 중구 명동1가,78,13,33,2,0,0,28,0,2,0,0,0,0,0
서울특별시 중구 명동2가,473,63,306,12,2,0,80,0,10,0,0,0,0,0
서울특별시 중구 남산동1가,89,9,34,8,6,0,30,0,2,0,0,0,0,0
서울특별시 중구 남산동2가,210,45,88,10,0,1,58,2,6,0,0,0,0,0
서울특별시 중구 남산동3가,53,15,22,0,0,0,12,0,2,0,0,0,0,2
서울특별시 중구 저동1가,85,17,21,2,2,0,41,0,2,0,0,0,0,0
서울특별시 중구 충무로4가,645,174,221,22,3,0,192,0,33,0,0,0,0,0
서울특별시 중구 충무로5가,273,77,109,3,2,0,73,0,8,0,0,0,0,1
서울특별시 중구 인현동2가,193,48,80,17,0,0,38,0,8,0,0,0,1,1
서울특별시 중구 예관동,252,34,142,8,22,0,31,8,6,0,0,0,0,1
서울특별시 중구 묵정동,305,67,128,17,2,0,82,0,9,0,0,0,0,0
서울특별시 중구 필동1가,163,53,54,5,0,0,45,0,6,0,0,0,0,0
서울특별시 중구 필동2가,506,118,178,24,1,1,157,1,22,0,0,0,0,4
서울특별시 중구 필동3가,380,81,137,25,0,0,121,0,15,0,0,0,0,1
