사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,하이브리드(휘발유+전기),하이브리드(경유+전기),하이브리드(LPG+전기),하이브리드(CNG+전기),수소,기타연료
서울특별시 서대문구 미근동,840,41,479,18,4,0,239,0,26,0,1,0,1,31
서울특별시 서대문구 냉천동,931,224,294,48,2,0,319,1,41,0,1,0,1,0
서울특별시 서대문구 천연동,1227,260,408,90,4,0,417,0,46,0,0,0,0,2
서울특별시 서대문구 옥천동,167,36,50,20,0,1,58,0,2,0,0,0,0,0
서울특별시 서대문구 영천동,1103,217,409,74,1,0,354,0,46,0,1,0,0,1
서울특별시 서대문구 현저동,1559,426,410,79,7,1,552,0,83,0,0,0,1,0
서울특별시 서대문구 북아현동,7779,1853,2620,458,37,5,2468,20,292,5,9,0,4,8
서울특별시 서대문구 홍제동,14426,3121,4719,1033,42,5,4917,8,536,3,18,0,10,14
서울특별시 서대문구 대현동,1303,278,381,156,7,0,422,0,55,1,0,0,2,1
서울특별시 서대문구 대신동,282,83,91,6,0,0,88,0,12,1,0,0,0,1
서울특별시 서대문구 신촌동,251,59,97,7,0,0,74,4,10,0,0,0,0,0
서울특별시 서대문구 봉원동,121,18,49,9,1,0,40,0,4,0,0,0,0,0
서울특별시 서대문구 창천동,1976,433,640,238,7,0,597,2,53,0,3,0,2,1
서울특별시 서대문구 연희동,10305,2450,3512,737,72,9,3156,15,330,3,6,0,9,6
서울특별시 서대문구 홍은동,14442,2957,4849,1281,68,4,4705,78,459,1,4,2,9,25
서울특별시 서대문구 북가좌동,16294,2799,5692,2447,67,3,4709,54,463,2,7,0,10,41
서울특별시 서대문구 남가좌동,13857,3063,4629,867,45,7,4492,91,608,10,6,0,12,27
서울특별시 마포구 아현동,7408,1963,2274,364,28,2,2377,2,377,1,2,0,3,15
서울특별시 마포구 공덕동,8151,1985,2723,398,30,0,2615,0,368,3,6,0,6,17
서울특별시 마포구 신공덕동,4091,1109,1206,230,29,0,1306,0,201,2,1,0,2,5
서울특별시 마포구 도화동,9153,2188,3264,489,37,3,2793,1,330,4,2,0,2,40
서울특별시 마포구 용강동,2664,710,779,134,9,2,873,0,147,1,0,0,2,7
서울특별시 마포구 토정동,488,140,146,15,1,1,166,0,17,0,1,0,0,1
서울특별시 마포구 마포동,2551,378,982,174,8,0,922,0,83,1,0,0,1,2
서울특별시 마포구 대흥동,4846,1135,1570,311,19,3,1578,0,215,1,1,0,6,7
서울특별시 마포구 염리동,4275,982,1704,193,12,1,1188,0,171,2,2,0,5,15
서울특별시 마포구 노고산동,1224,305,384,143,3,0,361,0,25,0,1,0,1,1
서울특별시 마포구 신수동,4759,1056,1647,291,17,3,1535,12,182,3,2,0,3,8
서울특별시 마포구 현석동,1826,514,574,61,8,1,563,0,101,2,1,0,1,0
서울특별시 마포구 구수동,465,57,295,23,6,0,80,0,4,0,0,0,0,0
서울특별시 마포구 창전동,4458,1112,1357,230,25,1,1503,4,207,1,3,0,4,11
서울특별시 마포구 상수동,2346,597,803,99,13,0,703,0,121,1,0,0,2,7
서울특별시 마포구 하중동,577,203,157,13,5,0,164,0,33,0,0,0,0,2
서울특별시 마포구 신정동,588,153,188,24,3,0,199,0,21,0,0,0,0,0
서울특별시 마포구 당인동,267,50,93,20,2,0,85,0,12,0,2,0,1,2
서울특별시 마포구 서교동,6621,1632,2319,350,30,1,2066,1,198,1,7,0,5,11
서울특별시 마포구 동교동,1735,384,689,91,12,0,501,0,54,0,0,0,1,3
서울특별시 마포구 합정동,6437,1198,2666,555,27,1,1802,2,163,1,4,0,8,10
서울특별시 마포구 망원동,11108,2132,4118,1184,47,5,3226,27,319,1,7,0,8,34
서울특별시 마포구 연남동,4235,928,1519,262,21,2,1338,11,142,4,4,0,1,3
서울특별시 마포구 성산동,14576,2933,5437,1143,79,3,4432,30,469,6,8,0,9,27
서울특별시 마포구 중동,3165,695,982,273,11,0,1071,2,118,1,2,0,6,4
서울특별시 마포구 상암동,11428,2415,3803,1126,97,2,3278,232,417,5,4,0,20,29
서울특별시 양천구 신정동,56965,12580,18995,4168,256,15,18389,317,2067,14,47,0,18,99
서울특별시 양천구 목동,48813,12784,15104,2626,166,18,15945,20,1988,12,16,0,31,103
서울특별시 양천구 신월동,45496,7246,17261,7072,124,9,12398,282,962,6,34,0,10,92
서울특별시 강서구 염창동,15383,3381,5106,1192,44,8,4944,0,670,3,6,0,9,20
서울특별시 강서구 등촌동,25229,5246,8309,2351,87,12,8272,6,866,5,14,0,13,48
서울특별시 강서구 화곡동,64778,12873,22901,5958,170,24,20847,12,1810,10,40,0,24,109
서울특별시 강서구 가양동,24971,4826,8879,2229,90,8,7584,21,1284,6,9,0,19,16
서울특별시 강서구 마곡동,23499,3948,7690,1593,291,9,6063,11,3810,14,12,0,11,47
서울특별시 강서구 내발산동,14778,2957,5052,1509,34,4,4709,2,467,2,10,0,7,25
서울특별시 강서구 외발산동,1483,127,630,347,3,0,258,89,25,0,1,0,0,3
서울특별시 강서구 공항동,7001,1147,2952,678,27,3,2004,6,168,0,3,0,1,12
서울특별시 강서구 방화동,26137,4441,8527,4864,66,6,7364,120,695,8,12,0,5,29
서울특별시 강서구 개화동,1416,174,757,87,22,0,212,139,20,1,0,0,0,4
서울특별시 강서구 과해동,110,6,83,0,3,0,11,3,3,0,0,0,0,1
서울특별시 강서구 오곡동,45,3,35,0,0,0,6,0,0,0,0,0,0,1
서울특별시 강서구 오쇠동,97,7,66,1,2,0,19,0,0,0,0,0,0,2
서울특별시 구로구 신도림동,12715,2953,4196,645,30,7,4300,16,532,1,8,0,5,22
서울특별시 구로구 구로동,53772,8628,21083,5512,776,15,15767,237,1500,13,34,0,106,101
서울특별시 구로구 가리봉동,2800,426,1380,201,5,0,729,0,55,0,4,0,0,0
서울특별시 구로구 고척동,16924,2940,6767,1456,55,5,5191,11,452,0,10,0,4,33
서울특별시 구로구 개봉동,26076,4783,9740,2296,57,9,8309,89,712,2,19,0,9,51
서울특별시 구로구 오류동,14865,2532,5400,1814,39,7,4610,3,409,0,7,0,10,34
서울특별시 구로구 궁동,4663,703,1911,512,9,0,1398,1,113,0,8,0,1,7
서울특별시 구로구 온수동,3463,647,1247,430,7,1,999,16,104,1,4,0,2,5
서울특별시 구로구 천왕동,4247,745,1522,551,14,1,1293,0,102,0,4,0,2,13
서울특별시 구로구 항동,5504,990,1951,446,24,4,1847,1,216,0,6,0,4,15
서울특별시 금천구 가산동,19894,3035,8949,956,220,10,5858,154,629,8,8,0,9,58
서울특별시 금천구 독산동,33936,5535,13580,3444,97,17,10269,32,858,6,52,0,7,39
서울특별시 금천구 시흥동,34796,5664,14156,3112,117,15,10595,213,830,6,32,0,4,52
서울특별시 영등포구 영등포동,4169,862,1531,294,12,2,1307,1,148,0,0,0,4,8
서울특별시 영등포구 영등포동1가,807,166,235,36,11,1,310,0,43,1,0,0,1,3
서울특별시 영등포구 영등포동2가,1621,262,813,68,4,1,416,0,42,1,1,0,1,12
서울특별시 영등포구 영등포동3가,371,87,137,29,0,0,109,2,6,0,0,0,0,1
서울특별시 영등포구 영등포동4가,536,121,174,84,9,0,129,0,17,0,1,0,0,1
서울특별시 영등포구 영등포동5가,655,105,323,58,5,0,150,0,12,1,0,0,0,1
서울특별시 영등포구 영등포동6가,515,88,208,40,4,0,157,0,17,0,0,0,1,0
서울특별시 영등포구 영등포동7가,3586,742,1411,177,22,1,1087,1,130,1,0,0,5,9
서울특별시 영등포구 영등포동8가,1973,429,621,112,3,1,705,0,91,0,0,0,4,7
서울특별시 영등포구 여의도동,21713,5723,6596,511,1481,4,6060,5,1205,13,6,0,35,74
서울특별시 영등포구 당산동1가,2041,392,786,131,6,0,657,1,56,0,6,0,0,6
서울특별시 영등포구 당산동2가,2076,388,775,117,3,3,703,0,62,0,1,0,1,23
서울특별시 영등포구 당산동3가,3709,725,1488,239,56,0,1057,13,106,1,3,0,7,14
서울특별시 영등포구 당산동4가,4784,1127,1547,209,21,1,1582,55,229,2,2,0,1,8
서울특별시 영등포구 당산동5가,4313,1161,1198,168,19,3,1516,0,237,2,1,0,2,6
서울특별시 영등포구 당산동6가,1207,227,520,72,2,0,349,0,32,0,1,0,1,3
서울특별시 영등포구 당산동,2420,525,726,249,9,3,785,1,115,1,2,0,1,3
서울특별시 영등포구 도림동,5714,1073,2312,462,18,3,1652,11,169,1,4,0,1,8
서울특별시 영등포구 문래동1가,431,62,219,26,3,0,102,1,9,0,0,0,0,9
서울특별시 영등포구 문래동2가,600,113,271,39,1,0,159,0,17,0,0,0,0,0
서울특별시 영등포구 문래동3가,6070,1410,2196,243,25,3,1902,0,227,1,1,0,7,55
서울특별시 영등포구 문래동4가,792,153,308,54,1,0,245,0,27,1,1,0,2,0
서울특별시 영등포구 문래동5가,2044,416,765,119,3,2,650,0,84,0,3,0,1,1
서울특별시 영등포구 문래동6가,4072,822,1409,286,18,3,1322,0,183,0,0,0,2,27
서울특별시 영등포구 양평동1가,3183,406,1492,518,9,2,671,0,75,3,0,0,0,7
서울특별시 영등포구 양평동2가,3324,521,1545,225,8,3,901,7,88,2,3,0,1,20
서울특별시 영등포구 양평동3가,7174,1200,3029,451,17,3,2122,0,241,3,33,0,3,72
서울특별시 영등포구 양평동4가,3100,535,1423,181,12,2,831,5,98,1,5,0,2,5
서울특별시 영등포구 양평동5가,3773,552,2029,199,17,2,853,0,109,1,0,0,2,9
서울특별시 영등포구 양평동6가,1829,323,639,341,5,0,455,2,60,1,1,0,1,1
서울특별시 영등포구 양화동,4,0,2,1,0,0,0,0,1,0,0,0,0,0
서울특별시 영등포구 신길동,30651,6095,11222,2347,96,16,9786,8,1000,9,23,0,13,36
서울특별시 영등포구 대림동,17218,2873,7236,1692,43,3,4926,1,420,2,4,0,10,8
서울특별시 영등포구 양평동,3,0,1,0,0,0,2,0,0,0,0,0,0,0
서울특별시 동작구 노량진동,8084,1713,2816,608,43,3,2619,9,251,3,7,0,6,6
서울특별시 동작구 상도동,31131,6734,10271,2396,89,10,10352,15,1179,8,24,0,22,31
서울특별시 동작구 상도1동,1833,342,658,168,4,0,578,0,81,0,1,0,0,1
서울특별시 동작구 본동,3406,825,1068,215,15,3,1107,2,163,1,1,0,2,4
서울특별시 동작구 흑석동,9121,2356,2887,487,40,2,2870,10,443,9,3,0,5,9
서울특별시 동작구 동작동,1677,448,503,66,10,0,549,0,98,0,2,0,0,1
서울특별시 동작구 사당동,26334,5995,8550,1862,95,5,8755,14,995,6,17,0,15,25
서울특별시 동작구 대방동,10659,2290,3416,786,31,8,3685,16,389,5,3,0,8,22
서울특별시 동작구 신대방동,13302,2810,4909,823,65,4,4215,1,433,2,13,0,9,18
서울특별시 관악구 봉천동,54566,10885,18553,4705,203,21,18062,45,1948,7,41,0,23,73
서울특별시 관악구 신림동,59646,11079,21843,5967,192,25,18629,189,1570,12,51,0,16,73
서울특별시 관악구 남현동,5094,1085,1727,368,18,2,1672,8,200,1,5,0,5,3
서울특별시 서초구 방배동,38782,10501,12253,1878,176,16,11790,301,1764,17,13,0,21,52
서울특별시 서초구 양재동,25633,4446,10334,1286,420,7,7799,35,1112,7,10,0,98,79
서울특별시 서초구 우면동,9238,2291,2818,752,60,6,2780,32,441,4,7,0,17,30
서울특별시 서초구 원지동,156,27,81,16,0,0,28,0,3,0,0,0,0,1
서울특별시 서초구 잠원동,18159,6099,4905,582,78,13,5500,2,921,10,3,0,9,37
서울특별시 서초구 반포동,28639,9831,8429,751,289,14,7895,4,1335,12,9,0,15,55
서울특별시 서초구 서초동,50705,14719,16418,1363,985,13,14685,29,2280,27,14,0,31,141
서울특별시 서초구 내곡동,4105,828,1383,617,20,0,1063,14,156,4,1,0,7,12
서울특별시 서초구 염곡동,869,116,366,77,2,0,153,120,27,0,3,0,5,0
서울특별시 서초구 신원동,3068,750,1051,191,29,2,884,0,144,2,3,0,3,9
서울특별시 강남구 학동,8,3,5,0,0,0,0,0,0,0,0,0,0,0
서울특별시 강남구 역삼동,37861,9660,11109,1428,580,11,9951,9,4908,19,7,0,12,167
서울특별시 강남구 포이동,4,2,1,0,0,0,1,0,0,0,0,0,0,0
서울특별시 강남구 개포동,22423,6214,6700,1203,115,8,6882,170,1071,6,15,0,14,25
서울특별시 강남구 청담동,12400,4262,4212,276,101,2,3019,8,425,54,4,0,4,33
서울특별시 강남구 삼성동,20178,6266,6450,648,165,3,5674,33,806,13,10,0,14,96
서울특별시 강남구 대치동,39094,10382,9031,1160,5938,23,10295,7,2163,24,8,0,17,46
서울특별시 강남구 신사동,6801,1844,2474,266,38,4,1905,0,245,4,1,0,1,19
서울특별시 강남구 논현동,20953,5773,7396,827,104,6,6125,11,627,13,6,0,9,56
서울특별시 강남구 압구정동,13896,4710,3845,356,43,5,4210,1,687,13,2,0,6,18
서울특별시 강남구 세곡동,5940,1259,2031,689,34,5,1608,20,261,4,6,0,5,18
서울특별시 강남구 자곡동,8597,2077,2637,772,57,1,2611,1,405,2,7,0,9,18
서울특별시 강남구 율현동,4325,881,1579,497,19,2,1225,0,110,2,3,0,1,6
서울특별시 강남구 일원동,13456,3224,3508,1909,81,5,4044,9,644,5,7,0,14,6
서울특별시 강남구 수서동,8086,2053,2428,668,53,1,2453,1,408,5,4,0,6,6
서울특별시 강남구 도곡동,22699,8093,6339,530,162,7,6383,5,1046,16,2,0,16,100
서울특별시 송파구 잠실동,36696,11484,10333,1481,165,12,11420,9,1660,23,15,0,17,77
서울특별시 송파구 신천동,22796,4286,12528,478,121,4,4599,15,676,5,11,0,6,67
서울특별시 송파구 풍납동,12394,2638,3991,1219,55,3,3978,6,477,0,1,0,9,17
서울특별시 송파구 송파동,14997,3456,5141,963,47,7,4759,0,575,7,11,0,10,21
서울특별시 송파구 석촌동,10110,2211,3661,787,36,6,3044,1,335,2,10,0,4,13
서울특별시 송파구 삼전동,9346,1948,3181,885,44,3,2964,2,278,2,5,0,4,30
서울특별시 송파구 가락동,35063,8048,11998,2277,163,21,10896,9,1527,15,18,0,14,77
서울특별시 송파구 문정동,30324,6636,10868,2399,164,13,8946,14,1190,21,10,0,12,51
서울특별시 송파구 장지동,16167,3174,5157,1518,84,8,4744,660,751,11,9,4,9,38
서울특별시 송파구 방이동,21429,5435,7066,1166,81,10,6654,3,931,6,20,0,14,43
서울특별시 송파구 오금동,13873,2998,4934,1014,41,7,4291,10,537,8,3,0,7,23
서울특별시 송파구 거여동,10933,2111,3939,961,31,4,3482,2,374,5,8,0,4,12
서울특별시 송파구 마천동,11761,1908,4618,1538,52,3,3251,105,251,1,7,0,5,22
서울특별시 강동구 명일동,14059,3168,4353,970,49,3,4845,10,619,2,6,0,8,26
서울특별시 강동구 고덕동,16815,3853,5674,999,95,3,5288,2,826,6,8,0,25,36
서울특별시 강동구 상일동,14674,3263,4750,979,71,7,4787,4,733,15,7,0,26,32
서울특별시 강동구 길동,16122,2880,5548,2664,90,10,4445,7,436,1,11,0,8,22
서울특별시 강동구 둔촌동,8886,1789,3108,931,32,0,2697,3,306,1,3,0,4,12
서울특별시 강동구 암사동,21898,4452,7495,2025,62,9,6940,6,838,9,11,0,11,40
서울특별시 강동구 성내동,22144,4070,8188,2244,122,13,6723,14,697,3,6,0,20,44
서울특별시 강동구 천호동,26161,4950,9888,2664,79,13,7730,5,738,4,9,0,21,60
서울특별시 강동구 강일동,9593,1708,3261,1238,57,3,2794,184,304,1,10,2,10,21
