기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2020,4,A,골목상권,1000969,고덕로25길,1210,622,588,3,114,166,214,296,417,1,42,87,90,125,277,2,72,79,124,171,140
2020,4,A,골목상권,1000968,고덕로10길,3507,1517,1990,3,312,511,710,863,1108,2,130,290,342,281,472,1,182,221,368,582,636
2020,4,A,골목상권,1000967,강동대로53길,4393,2785,1608,8,584,1064,1191,921,625,7,323,676,750,580,449,1,261,388,441,341,176
2020,4,A,골목상권,1000966,풍성로25길,2354,1231,1123,7,336,468,530,628,385,4,169,231,267,285,275,3,167,237,263,343,110
2020,4,A,골목상권,1000965,오금로46길,5777,3859,1918,17,613,1012,1039,1099,1997,13,360,664,635,635,1552,4,253,348,404,464,445
2020,4,A,골목상권,1000964,오금로36길,8762,6025,2737,22,1512,2571,2168,1644,845,13,867,1818,1582,1082,663,9,645,753,586,562,182
2020,4,A,골목상권,1000963,오금로11길,24198,13753,10445,51,3788,6203,5486,5235,3435,31,2092,3996,3291,2449,1894,20,1696,2207,2195,2786,1541
2020,4,A,골목상권,1000962,양재대로72길,22772,16675,6097,27,2845,5403,5734,5267,3496,13,1686,3711,4373,4341,2551,14,1159,1692,1361,926,945
2020,4,A,골목상권,1000961,양재대로71길,7301,5438,1863,18,603,1437,1906,2042,1295,14,301,932,1471,1612,1108,4,302,505,435,430,187
2020,4,A,골목상권,1000960,양재대로64길,14088,7953,6135,35,1591,3150,3034,2441,3837,16,726,1837,1925,1220,2229,19,865,1313,1109,1221,1608
2020,4,A,골목상권,1000959,양재대로62길,14774,8253,6521,33,2326,3507,3049,2730,3129,12,943,1946,1867,1367,2118,21,1383,1561,1182,1363,1011
2020,4,A,골목상권,1000958,송파대로30길,22655,13112,9543,70,3001,5092,5005,4472,5015,28,1367,3050,3223,2434,3010,42,1634,2042,1782,2038,2005
2020,4,A,골목상권,1000957,송이로36길,5749,3648,2101,10,864,1367,1427,1263,818,5,510,914,930,680,609,5,354,453,497,583,209
2020,4,A,골목상권,1000956,송이로32길,39353,30162,9191,23,3382,6782,10667,14138,4361,9,1993,4877,8225,11982,3076,14,1389,1905,2442,2156,1285
2020,4,A,골목상권,1000955,송이로23길,14254,7809,6445,69,1826,3028,2781,2547,4003,32,814,1709,1647,1186,2421,37,1012,1319,1134,1361,1582
2020,4,A,골목상권,1000954,삼전로13길,14756,9769,4987,37,2148,3337,3761,3234,2239,19,1136,2194,2607,2186,1627,18,1012,1143,1154,1048,612
2020,4,A,골목상권,1000953,백제고분로50길,17443,9418,8025,47,2805,3940,3800,4087,2764,34,1485,2586,2121,1690,1502,13,1320,1354,1679,2397,1262
2020,4,A,골목상권,1000952,백제고분로46길,16523,11352,5171,68,2506,4002,4361,3846,1740,50,1316,2694,3250,2744,1298,18,1190,1308,1111,1102,442
2020,4,A,골목상권,1000951,백제고분로45길,15378,8720,6658,29,2384,3918,3571,3343,2133,12,1032,2304,2283,1836,1253,17,1352,1614,1288,1507,880
2020,4,A,골목상권,1000950,백제고분로42길,8516,5295,3221,17,1073,2000,1949,1793,1684,4,500,1337,1292,1070,1092,13,573,663,657,723,592
2020,4,A,골목상권,1000949,백제고분로39길,4895,3304,1591,2,549,1286,1258,951,849,0,318,940,865,559,622,2,231,346,393,392,227
2020,4,A,골목상권,1000948,백제고분로34길,5206,3412,1794,15,645,1084,1272,1218,972,11,361,715,831,757,737,4,284,369,441,461,235
2020,4,A,골목상권,1000947,백제고분로33길,5340,3787,1553,11,566,969,1248,992,1554,8,281,596,841,687,1374,3,285,373,407,305,180
2020,4,A,골목상권,1000946,백제고분로32길,6694,4371,2323,13,959,1465,1444,1505,1308,11,566,984,950,922,938,2,393,481,494,583,370
2020,4,A,골목상권,1000945,백제고분로31길,13652,9597,4055,33,1722,2774,3329,2729,3065,28,1019,1936,2383,1827,2404,5,703,838,946,902,661
2020,4,A,골목상권,1000944,백제고분로22길,5641,3796,1845,13,865,1427,1288,1128,920,3,501,1019,906,707,660,10,364,408,382,421,260
2020,4,A,골목상권,1000943,백제고분로21길,14733,9943,4790,35,2165,3401,3692,3281,2159,21,1190,2315,2645,2234,1538,14,975,1086,1047,1047,621
2020,4,A,골목상권,1000942,마천로51길,1842,1001,841,1,175,392,515,491,268,0,100,222,246,225,208,1,75,170,269,266,60
2020,4,A,골목상권,1000941,동남로20길,4695,2916,1779,21,772,1191,1068,1071,572,17,453,774,664,598,410,4,319,417,404,473,162
2020,4,A,골목상권,1000940,거마로20길,1829,931,898,2,188,363,494,501,281,0,86,175,205,240,225,2,102,188,289,261,56
