 교육청명 , 유치원명 , 설립유형 , 주소 , 운영시간 , 만3세학급수 , 만4세학급수 , 만5세학급수 , 혼합학급수 , 특수학급수 , 만3세유아수 , 만4세유아수 , 만5세유아수 , 혼합유아수 , 특수유아수 , 공시차수 ,입력주소,경도,위도
 서울특별시교육청 , 서울자곡초등학교병설유치원 , 공립(병설) , 서울특별시 강남구 자곡로 150 , 07시00분~19시00분 ,1,1,1,0,0,5,5,10,0,0,20211,서울특별시 강남구 자곡로 150 ,127.0998495,37.4719552
 서울특별시교육청 , 굿프랜드유치원 , 사립(사인) , 서울특별시 영등포구 대방천로 180 , 09시00분~17시00분 ,3,3,2,0,0,46,78,56,0,0,20211,서울특별시 영등포구 대방천로 180 ,126.9111165,37.4978665
 서울특별시교육청 , 등촌이화유치원 , 사립(사인) , 서울특별시 강서구 화곡로63가길 26 , 09시00분~19시30분 ,1,1,1,0,0,4,11,8,0,0,20211,서울특별시 강서구 화곡로63가길 26 ,126.8479654,37.5597451
 서울특별시교육청 , 하나유치원 , 사립(사인) , 서울특별시 은평구 진관4로 93 , 09시30분~19시30분 ,1,4,3,0,0,18,61,67,0,0,20192,서울특별시 은평구 진관4로 93 ,126.9298232,37.6480683
 서울특별시교육청 , 강일늘사랑유치원 , 사립(사인) , 서울특별시 강동구 아리수로98길 62 , 08시00분~19시30분 ,3,3,3,0,0,62,71,53,0,0,20211,서울특별시 강동구 아리수로98길 62 ,127.1783046,37.5631281
 서울특별시교육청 , 광장유치원 , 사립(법인) , 서울특별시 광진구 광장로7길 17 , 09시30분~18시30분 ,1,1,1,0,0,14,25,27,0,0,20211,서울특별시 광진구 광장로7길 17 ,127.105268,37.5484417
 서울특별시교육청 , 서울양남초등학교병설유치원 , 공립(병설) , 서울특별시 광진구 뚝섬로64길 71 , 07시00분~19시00분 ,1,2,1,0,1,9,16,15,0,3,20211,서울특별시 광진구 뚝섬로64길 71 ,127.0896612,37.5308241
 서울특별시교육청 , 서울공릉초등학교병설유치원 , 공립(병설) , 서울특별시 노원구 동일로173길 12 , 07시20분~19시20분 ,1,1,1,0,0,15,20,16,0,0,20211,서울특별시 노원구 동일로173길 12 ,127.074191,37.6189068
 서울특별시교육청 , 유안유치원 , 사립(사인) , 서울특별시 강북구 인수봉로 297 , 07시00분~20시00분 ,0,0,1,2,0,0,0,15,36,0,20211,서울특별시 강북구 인수봉로 297 ,127.0104979,37.6452766
 서울특별시교육청 , 옥수삼성유치원 , 사립(사인) , 서울특별시 성동구 독서당로 218 , 08시00분~20시00분 ,1,1,2,0,0,12,16,20,0,0,20211,서울특별시 성동구 독서당로 218 ,127.0139916,37.5420202
 서울특별시교육청 , 광운유치원 , 사립(법인) , 서울특별시 성북구 장월로42길 9 , 09시00분~17시00분 ,1,1,1,0,0,18,24,20,0,0,20192,서울특별시 성북구 장월로42길 9 ,127.0538893,37.6191242
 서울특별시교육청 , 서울은명초등학교병설유치원 , 공립(병설) , 서울특별시 은평구 은평로4길 21-9 , 07시00분~19시00분 ,0,1,1,0,0,0,22,24,0,0,20211,서울특별시 은평구 은평로4길 21-9 ,126.9183037,37.5976951
 서울특별시교육청 , 아란유치원 , 사립(사인) , 서울특별시 양천구 목동서로 100 , 09시00분~18시00분 ,2,2,1,0,0,26,27,22,0,0,20211,서울특별시 양천구 목동서로 100 ,126.8729683,37.5341538
 서울특별시교육청 , 아이디유치원 , 사립(사인) , 서울특별시 노원구 동일로221길 32 , 09시00분~19시30분 ,2,2,2,0,0,24,46,45,0,0,20211,서울특별시 노원구 동일로221길 32 ,127.0571782,37.6591653
 서울특별시교육청 , 서울우면초등학교병설유치원 , 공립(병설) , 서울특별시 서초구 태봉로 59 , 07시30분~19시30분 ,1,1,1,0,1,7,19,22,0,1,20211,서울특별시 서초구 태봉로 59 ,127.0237575,37.4646922
 서울특별시교육청 , 서울대왕초등학교병설유치원 , 공립(병설) , 서울특별시 강남구 헌릉로618길 8 , 07시30분~19시30분 ,1,1,1,0,0,9,6,12,0,0,20211,서울특별시 강남구 헌릉로618길 8 ,127.1055679,37.4645468
 서울특별시교육청 , 서울창신초등학교병설유치원 , 공립(병설) , 서울특별시 종로구 지봉로 73 , 09시00분~19시00분 ,0,0,2,1,0,0,0,22,7,0,20211,서울특별시 종로구 지봉로 73 ,127.0143125,37.5760822
 서울특별시교육청 , 하늘빛유치원 , 사립(사인) , 서울특별시 강남구 양재대로55길 12 , 09시00분~17시00분 ,1,1,1,0,0,13,15,24,0,0,20192,서울특별시 강남구 양재대로55길 12 ,127.0893967,37.4930049
 서울특별시교육청 , 돌샘유치원 , 사립(사인) , 서울특별시 강남구 개포로 516 , 09시00분~19시00분 ,2,2,2,0,0,27,42,46,0,0,20211,서울특별시 강남구 개포로 516 ,127.0715123,37.488892
