NO,우선순위,K,lon,lat,시,구,커버리지,도로명주소
134,14,16,126.8316682,37.53077141,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 412
135,15,16,126.8164618,37.58476484,서울특별시,강서구,2km,서울특별시 강서구 금낭화로26가길 152-186
136,16,16,127.0737078,37.55983509,서울특별시,광진구,2km,서울특별시 광진구 동일로 322
137,1,17,127.1034226,37.50766,서울특별시,송파구,2km,서울특별시 송파구 백제고분로39길 40
138,2,17,127.0668206,37.57603432,서울특별시,동대문구,2km,서울특별시 동대문구 한천로33길 15
139,3,17,127.129303,37.53658752,서울특별시,강동구,2km,서울특별시 강동구 천호대로 1056
140,4,17,126.8602541,37.49667843,서울특별시,구로구,2km,서울특별시 구로구 경인로 364
141,5,17,127.0751929,37.49764689,서울특별시,강남구,2km,서울특별시 강남구 남부순환로 3154
142,6,17,126.9060274,37.57353209,서울특별시,서대문구,2km,서울특별시 서대문구 수색로 123
143,7,17,126.8771776,37.50217699,서울특별시,구로구,2km,서울특별시 구로구 경인로55길 17
144,8,17,126.9022103,37.48427922,서울특별시,구로구,2km,서울특별시 구로구 시흥대로 573
145,9,17,126.8475203,37.52995871,서울특별시,강서구,2km,서울특별시 강서구 강서로 21
146,10,17,127.0169049,37.58936078,서울특별시,성북구,2km,서울특별시 성북구 삼선동5가 보문로 168
147,11,17,127.058973,37.56248502,서울특별시,동대문구,2km,서울특별시 동대문구 천호대로 361
148,12,17,126.8270683,37.53885739,서울특별시,양천구,2km,서울특별시 양천구 화곡로4길 2
149,13,17,126.8608626,37.55797338,서울특별시,강서구,2km,서울특별시 강서구 양천로 556
150,14,17,126.8316682,37.53077141,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 412
151,15,17,126.8374145,37.52088897,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 538
152,16,17,126.8164618,37.58476484,서울특별시,강서구,2km,서울특별시 강서구 금낭화로26가길 152-186
153,17,17,127.0737078,37.55983509,서울특별시,광진구,2km,서울특별시 광진구 동일로 322
154,1,18,127.1034226,37.50766,서울특별시,송파구,2km,서울특별시 송파구 백제고분로39길 40
155,2,18,127.0668206,37.57603432,서울특별시,동대문구,2km,서울특별시 동대문구 한천로33길 15
156,3,18,127.129303,37.53658752,서울특별시,강동구,2km,서울특별시 강동구 천호대로 1056
157,4,18,126.8602541,37.49667843,서울특별시,구로구,2km,서울특별시 구로구 경인로 364
158,5,18,127.0751929,37.49764689,서울특별시,강남구,2km,서울특별시 강남구 남부순환로 3154
159,6,18,126.9060274,37.57353209,서울특별시,서대문구,2km,서울특별시 서대문구 수색로 123
160,7,18,126.8771776,37.50217699,서울특별시,구로구,2km,서울특별시 구로구 경인로55길 17
161,8,18,126.9022103,37.48427922,서울특별시,구로구,2km,서울특별시 구로구 시흥대로 573
162,9,18,126.8475203,37.52995871,서울특별시,강서구,2km,서울특별시 강서구 강서로 21
