NO,우선순위,K,lon,lat,시,구,커버리지,도로명주소
129,9,16,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
130,10,16,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
131,11,16,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
132,12,16,127.1034178,37.50856135,서울특별시,송파구,1km,서울특별시 송파구 송파대로 475-2
133,13,16,126.8164535,37.58566613,서울특별시,강서구,1km,서울특별시 강서구 양천로27길 261-40
134,14,16,126.8771851,37.50127567,서울특별시,구로구,1km,서울특별시 구로구 경인로 531
135,15,16,126.9022103,37.48427922,서울특별시,구로구,1km,서울특별시 구로구 시흥대로 573
136,16,16,127.0737078,37.55983509,서울특별시,광진구,1km,서울특별시 광진구 동일로 322
137,1,17,127.0668206,37.57603432,서울특별시,동대문구,1km,서울특별시 동대문구 한천로33길 15
138,2,17,126.8602541,37.49667843,서울특별시,구로구,1km,서울특별시 구로구 경인로 364
139,3,17,127.0169049,37.58936078,서울특별시,성북구,1km,서울특별시 성북구 삼선동5가 보문로 168
140,4,17,126.8270683,37.53885739,서울특별시,양천구,1km,서울특별시 양천구 화곡로4길 2
141,5,17,127.0356428,37.49028717,서울특별시,강남구,1km,서울특별시 강남구 강남대로58길 45
142,6,17,127.0785766,37.49946173,서울특별시,강남구,1km,서울특별시 강남구 남부순환로 3183
143,7,17,126.8475203,37.52995871,서울특별시,강서구,1km,서울특별시 강서구 강서로 21
144,8,17,126.9060274,37.57353209,서울특별시,서대문구,1km,서울특별시 서대문구 수색로 123
145,9,17,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
146,10,17,126.8316682,37.53077141,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 412
147,11,17,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
148,12,17,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
149,13,17,127.1034178,37.50856135,서울특별시,송파구,1km,서울특별시 송파구 송파대로 475-2
150,14,17,126.8164535,37.58566613,서울특별시,강서구,1km,서울특별시 강서구 양천로27길 261-40
151,15,17,126.8771851,37.50127567,서울특별시,구로구,1km,서울특별시 구로구 경인로 531
152,16,17,126.9022103,37.48427922,서울특별시,구로구,1km,서울특별시 구로구 시흥대로 573
153,17,17,127.0737078,37.55983509,서울특별시,광진구,1km,서울특별시 광진구 동일로 322
154,1,18,127.0668206,37.57603432,서울특별시,동대문구,1km,서울특별시 동대문구 한천로33길 15
155,2,18,126.8602541,37.49667843,서울특별시,구로구,1km,서울특별시 구로구 경인로 364
156,3,18,127.0169049,37.58936078,서울특별시,성북구,1km,서울특별시 성북구 삼선동5가 보문로 168
157,4,18,126.8270683,37.53885739,서울특별시,양천구,1km,서울특별시 양천구 화곡로4길 2
158,5,18,127.0356428,37.49028717,서울특별시,강남구,1km,서울특별시 강남구 강남대로58길 45
159,6,18,127.0785766,37.49946173,서울특별시,강남구,1km,서울특별시 강남구 남부순환로 3183
160,7,18,126.8475203,37.52995871,서울특별시,강서구,1km,서울특별시 강서구 강서로 21
161,8,18,126.9060274,37.57353209,서울특별시,서대문구,1km,서울특별시 서대문구 수색로 123
162,9,18,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
163,10,18,126.8316682,37.53077141,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 412
