,지번주소,위도,경도
0,서울특별시 용산구 한강로3가 37-4,37.5276363,126.9551412
1,서울특별시 용산구 한강로3가 38-4,37.5274737,126.9552473
2,서울특별시 용산구 한강로3가 40-1,37.5295654,126.9571804
3,서울특별시 용산구 한강로3가 40-2,37.5247920,126.9615026
4,서울특별시 용산구 한강로3가 40-3,37.5254345,126.9613704
5,서울특별시 용산구 한강로3가 40-22,37.5244238,126.9614472
6,서울특별시 용산구 한강로3가 40-24,37.5252184,126.9604672
7,서울특별시 용산구 한강로3가 40-25,37.5254026,126.9605963
8,서울특별시 용산구 한강로3가 40-26,37.5252992,126.9606029
9,서울특별시 용산구 한강로3가 40-27,37.5252160,126.9606112
10,서울특별시 용산구 한강로3가 40-28,37.5251993,126.9605515
11,서울특별시 용산구 한강로3가 40-30,37.5251610,126.9605066
12,서울특별시 용산구 한강로3가 40-31,37.5251454,126.9604823
13,서울특별시 용산구 한강로3가 40-32,37.5251279,126.9604641
14,서울특별시 용산구 한강로3가 40-33,37.5250830,126.9603897
15,서울특별시 용산구 한강로3가 40-37,37.5248500,126.9601779
16,서울특별시 용산구 한강로3가 40-38,37.5248837,126.9602538
17,서울특별시 용산구 한강로3가 40-40,37.5249600,126.9603913
18,서울특별시 용산구 한강로3가 40-42,37.5250132,126.9604795
19,서울특별시 용산구 한강로3가 40-43,37.5250423,126.9605282
20,서울특별시 용산구 한강로3가 40-44,37.5251035,126.9606220
21,서울특별시 용산구 한강로3가 40-45,37.5248941,126.9604427
22,서울특별시 용산구 한강로3가 40-46,37.5248777,126.9605864
23,서울특별시 용산구 한강로3가 40-47,37.5248156,126.9606176
24,서울특별시 용산구 한강로3가 40-49,37.5247117,126.9603792
25,서울특별시 용산구 한강로3가 40-50,37.5247534,126.9605312
26,서울특별시 용산구 한강로3가 40-51,37.5247195,126.9605961
27,서울특별시 용산구 한강로3가 40-52,37.5246725,126.9606365
28,서울특별시 용산구 한강로3가 40-54,37.5246567,126.9585867
29,서울특별시 용산구 한강로3가 40-59,37.5247404,126.9593141
30,서울특별시 용산구 한강로3가 40-60,37.5247539,126.9593854
31,서울특별시 용산구 한강로3가 40-61,37.5246069,126.9592135
32,서울특별시 용산구 한강로3가 40-62,37.5247231,126.9595089
33,서울특별시 용산구 한강로3가 40-63,37.5246928,126.9594478
34,서울특별시 용산구 한강로3가 40-64,37.5247123,126.9595966
35,서울특별시 용산구 한강로3가 40-65,37.5246753,126.9595241
36,서울특별시 용산구 한강로3가 40-66,37.5246394,126.9594943
37,서울특별시 용산구 한강로3가 40-76,37.5244363,126.9592470
38,서울특별시 용산구 한강로3가 40-82,37.5245496,126.9593855
39,서울특별시 용산구 한강로3가 40-85,37.5246620,126.9595999
40,서울특별시 용산구 한강로3가 40-86,37.5246825,126.9596497
41,서울특별시 용산구 한강로3가 40-92,37.5243989,126.9596187
42,서울특별시 용산구 한강로3가 40-97,37.5240087,126.9598828
43,서울특별시 용산구 한강로3가 40-98,37.5245451,126.9600466
44,서울특별시 용산구 한강로3가 40-99,37.5244973,126.9601857
45,서울특별시 용산구 한강로3가 40-103,37.5243072,126.9604067
46,서울특별시 용산구 한강로3가 40-105,37.5241243,126.9603506
47,서울특별시 용산구 한강로3가 40-109,37.5239766,126.9607462
48,서울특별시 용산구 한강로3가 40-111,37.5229929,126.9614958
49,서울특별시 용산구 한강로3가 40-112,37.5263645,126.9630127
50,서울특별시 용산구 한강로3가 40-113,37.5271424,126.9630998
51,서울특별시 용산구 한강로3가 40-135,37.5262993,126.9649728
52,서울특별시 용산구 한강로3가 40-145,37.5257685,126.9644529
53,서울특별시 용산구 한강로3가 40-148,37.5251038,126.9638188
54,서울특별시 용산구 한강로3가 40-212,37.5253470,126.9616040
55,서울특별시 용산구 한강로3가 40-228,37.5251180,126.9609389
56,서울특별시 용산구 한강로3가 40-229,37.5250320,126.9609584
57,서울특별시 용산구 한강로3가 40-230,37.5249533,126.9609564
58,서울특별시 용산구 한강로3가 40-231,37.5249028,126.9610086
59,서울특별시 용산구 한강로3가 40-232,37.5248191,126.9610173
60,서울특별시 용산구 한강로3가 40-233,37.5247449,126.9610426
61,서울특별시 용산구 한강로3가 40-234,37.5246638,126.9610673
62,서울특별시 용산구 한강로3가 40-236,37.5245415,126.9611021
63,서울특별시 용산구 한강로3가 40-237,37.5245414,126.9606773
64,서울특별시 용산구 한강로3가 40-238,37.5244660,126.9607495
65,서울특별시 용산구 한강로3가 40-239,37.5245140,126.9602127
66,서울특별시 용산구 한강로3가 40-240,37.5244733,126.9602912
67,서울특별시 용산구 한강로3가 40-241,37.5244119,126.9603815
68,서울특별시 용산구 한강로3가 40-242,37.5243469,126.9604624
69,서울특별시 용산구 한강로3가 40-243,37.5242771,126.9605460
70,서울특별시 용산구 한강로3가 40-244,37.5242241,126.9606074
71,서울특별시 용산구 한강로3가 40-245,37.5241577,126.9606791
72,서울특별시 용산구 한강로3가 40-246,37.5241024,126.9607340
73,서울특별시 용산구 한강로3가 40-247,37.5240406,126.9607866
74,서울특별시 용산구 한강로3가 40-248,37.5236509,126.9610091
75,서울특별시 용산구 한강로3가 40-249,37.5244878,126.9611733
76,서울특별시 용산구 한강로3가 40-252,37.5243359,126.9612299
77,서울특별시 용산구 한강로3가 40-254,37.5237233,126.9615021
78,서울특별시 용산구 한강로3가 40-256,37.5235966,126.9616243
79,서울특별시 용산구 한강로3가 40-257,37.5235590,126.9617075
80,서울특별시 용산구 한강로3가 40-258,37.5235053,126.9616213
81,서울특별시 용산구 한강로3가 40-259,37.5234962,126.9617669
82,서울특별시 용산구 한강로3가 40-260,37.5233801,126.9616650
83,서울특별시 용산구 한강로3가 40-263,37.5233048,126.9617498
84,서울특별시 용산구 한강로3가 40-265,37.5233294,126.9619545
85,서울특별시 용산구 한강로3가 40-266,37.5232989,126.9618640
86,서울특별시 용산구 한강로3가 40-267,37.5232472,126.9618975
87,서울특별시 용산구 한강로3가 40-270,37.5255671,126.9619368
88,서울특별시 용산구 한강로3가 40-271,37.5255328,126.9619064
89,서울특별시 용산구 한강로3가 40-331,37.5233795,126.9621759
90,서울특별시 용산구 한강로3가 40-367,37.5240997,126.9613607
91,서울특별시 용산구 한강로3가 40-368,37.5251888,126.9609978
92,서울특별시 용산구 한강로3가 40-370,37.5251362,126.9610006
93,서울특별시 용산구 한강로3가 40-373,37.5248234,126.9610988
94,서울특별시 용산구 한강로3가 40-374,37.5247552,126.9611224
95,서울특별시 용산구 한강로3가 40-375,37.5246799,126.9611471
96,서울특별시 용산구 한강로3가 40-377,37.5245590,126.9611873
97,서울특별시 용산구 한강로3가 40-378,37.5244979,126.9612208
98,서울특별시 용산구 한강로3가 40-380,37.5244226,126.9612309
99,서울특별시 용산구 한강로3가 40-382,37.5243490,126.9612883
100,서울특별시 용산구 한강로3가 40-392,37.5241878,126.9605496
101,서울특별시 용산구 한강로3가 40-394,37.5241227,126.9606171
102,서울특별시 용산구 한강로3가 40-398,37.5240070,126.9607140
103,서울특별시 용산구 한강로3가 40-406,37.5236327,126.9609588
104,서울특별시 용산구 한강로3가 40-436,37.5269534,126.9635583
105,서울특별시 용산구 한강로3가 40-507,37.5260639,126.9640747
106,서울특별시 용산구 한강로3가 40-509,37.5268718,126.9631373
107,서울특별시 용산구 한강로3가 40-517,37.5241044,126.9625648
108,서울특별시 용산구 한강로3가 40-519,37.5238752,126.9626471
109,서울특별시 용산구 한강로3가 40-523,37.5239616,126.9605733
110,서울특별시 용산구 한강로3가 40-525,37.5239283,126.9605257
111,서울특별시 용산구 한강로3가 40-527,37.5239037,126.9605422
112,서울특별시 용산구 한강로3가 40-532,37.5239911,126.9606791
113,서울특별시 용산구 한강로3가 40-533,37.5239838,126.9606591
114,서울특별시 용산구 한강로3가 40-539,37.5233394,126.9611735
115,서울특별시 용산구 한강로3가 40-540,37.5240111,126.9607528
116,서울특별시 용산구 한강로3가 40-541,37.5239889,126.9607953
117,서울특별시 용산구 한강로3가 40-544,37.5239044,126.9608470
118,서울특별시 용산구 한강로3가 40-545,37.5238679,126.9608928
119,서울특별시 용산구 한강로3가 40-546,37.5238755,126.9608540
120,서울특별시 용산구 한강로3가 40-547,37.5238250,126.9608846
121,서울특별시 용산구 한강로3가 40-548,37.5237767,126.9609305
122,서울특별시 용산구 한강로3가 40-549,37.5237095,126.9609726
123,서울특별시 용산구 한강로3가 40-550,37.5235654,126.9610629
124,서울특별시 용산구 한강로3가 40-551,37.5234802,126.9611276
125,서울특별시 용산구 한강로3가 40-552,37.5236926,126.9608831
126,서울특별시 용산구 한강로3가 40-554,37.5238574,126.9608112
127,서울특별시 용산구 한강로3가 40-555,37.5238072,126.9608449
128,서울특별시 용산구 한강로3가 40-556,37.5237506,126.9608836
129,서울특별시 용산구 한강로3가 40-557,37.5236912,126.9609216
130,서울특별시 용산구 한강로3가 40-558,37.5235727,126.9610043
131,서울특별시 용산구 한강로3가 40-559,37.5251193,126.9604431
132,서울특별시 용산구 한강로3가 40-561,37.5245140,126.9600309
133,서울특별시 용산구 한강로3가 40-562,37.5234322,126.9611753
134,서울특별시 용산구 한강로3가 40-563,37.5245837,126.9606420
135,서울특별시 용산구 한강로3가 40-565,37.5245007,126.9606362
136,서울특별시 용산구 한강로3가 40-566,37.5244601,126.9605745
137,서울특별시 용산구 한강로3가 40-567,37.5245282,126.9604697
138,서울특별시 용산구 한강로3가 40-568,37.5244395,126.9606992
139,서울특별시 용산구 한강로3가 40-569,37.5244093,126.9606504
140,서울특별시 용산구 한강로3가 40-574,37.5254577,126.9641540
141,서울특별시 용산구 한강로3가 40-586,37.5262107,126.9648551
142,서울특별시 용산구 한강로3가 40-587,37.5260774,126.9647451
143,서울특별시 용산구 한강로3가 40-589,37.5259290,126.9646035
144,서울특별시 용산구 한강로3가 40-596,37.5245173,126.9592227
145,서울특별시 용산구 한강로3가 40-597,37.5261623,126.9605771
146,서울특별시 용산구 한강로3가 40-609,37.5256436,126.9633296
147,서울특별시 용산구 한강로3가 40-613,37.5243367,126.9626605
