,지번주소,위도,경도
0,서울특별시 종로구 효제동 275-2,37.5734613,127.0036892
1,서울특별시 종로구 효제동 277-2,37.5734436,127.0035558
2,서울특별시 종로구 효제동 281-1,37.5734804,127.0033388
3,서울특별시 종로구 효제동 281-2,37.5734331,127.0033976
4,서울특별시 종로구 효제동 281-5,37.5734653,127.0033358
5,서울특별시 종로구 효제동 281-6,37.5733884,127.0034037
6,서울특별시 종로구 효제동 281-7,37.5734099,127.0033113
7,서울특별시 종로구 효제동 282-1,37.5734204,127.0031474
8,서울특별시 종로구 효제동 282-3,37.5733589,127.0031928
9,서울특별시 종로구 효제동 282-5,37.5733918,127.0031743
10,서울특별시 종로구 효제동 291-3,37.5733532,127.0024233
11,서울특별시 종로구 효제동 291-4,37.5734714,127.0022617
12,서울특별시 종로구 효제동 291-5,37.5733773,127.0022866
13,서울특별시 종로구 효제동 291-8,37.5734843,127.0023093
14,서울특별시 종로구 효제동 292-7,37.5733326,127.0023554
15,서울특별시 종로구 효제동 293-11,37.5732516,127.0021540
16,서울특별시 종로구 효제동 297-2,37.5724513,127.0019733
17,서울특별시 종로구 효제동 298-3,37.5728777,127.0023032
18,서울특별시 종로구 효제동 305-2,37.5726787,127.0018534
19,서울특별시 종로구 효제동 305-3,37.5727116,127.0018342
20,서울특별시 종로구 효제동 306-4,37.5726272,127.0018498
21,서울특별시 종로구 효제동 308-1,37.5724852,127.0018400
22,서울특별시 종로구 효제동 317-1,37.5716125,127.0019022
23,서울특별시 종로구 효제동 319-1,37.5717500,127.0019767
24,서울특별시 종로구 효제동 319-2,37.5717567,127.0015361
25,서울특별시 종로구 효제동 319-3,37.5716120,127.0034739
26,서울특별시 종로구 효제동 325-2,37.5716332,127.0018162
27,서울특별시 종로구 종로5가 8-5,37.5713374,127.0056972
28,서울특별시 종로구 종로5가 9-8,37.5714885,127.0056923
29,서울특별시 종로구 종로5가 11-2,37.5711135,127.0049263
30,서울특별시 종로구 종로5가 37-1,37.5711951,127.0038874
31,서울특별시 종로구 종로5가 37-2,37.5711953,127.0042541
32,서울특별시 종로구 종로5가 37-6,37.5709575,127.0058657
33,서울특별시 종로구 종로5가 37-7,37.5706333,127.0052682
34,서울특별시 종로구 종로5가 37-10,37.5711897,127.0048033
35,서울특별시 종로구 종로5가 37-11,37.5713442,127.0039106
36,서울특별시 종로구 종로5가 37-12,37.5712638,127.0042625
37,서울특별시 종로구 종로5가 37-13,37.5708394,127.0058649
38,서울특별시 종로구 종로5가 51-2,37.5711717,127.0030865
39,서울특별시 종로구 종로5가 57-1,37.5714216,127.0028564
40,서울특별시 종로구 종로5가 59-2,37.5711577,127.0027473
41,서울특별시 종로구 종로5가 64-2,37.5711975,127.0027502
42,서울특별시 종로구 종로5가 73-2,37.5711565,127.0024153
43,서울특별시 종로구 종로5가 79-2,37.5711830,127.0021597
44,서울특별시 종로구 종로5가 82-0,37.5712588,127.0019156
45,서울특별시 종로구 종로5가 82-1,37.5710353,127.0019443
46,서울특별시 종로구 종로5가 82-7,37.5713524,127.0014631
47,서울특별시 종로구 종로5가 82-8,37.5712309,127.0032037
48,서울특별시 종로구 종로5가 82-9,37.5713372,127.0029331
49,서울특별시 종로구 종로5가 82-10,37.5712623,127.0025639
50,서울특별시 종로구 종로5가 85-2,37.5713597,127.0018486
51,서울특별시 종로구 종로5가 87-3,37.5711648,127.0016350
52,서울특별시 종로구 종로5가 88-2,37.5711621,127.0015623
53,서울특별시 종로구 종로5가 102-4,37.5712141,127.0002207
54,서울특별시 종로구 종로5가 102-5,37.5711302,127.0004448
55,서울특별시 종로구 종로5가 104-10,37.5716158,127.0004627
56,서울특별시 종로구 종로5가 115-1,37.5717184,126.9998566
57,서울특별시 종로구 종로5가 120-0,37.5715619,127.0001279
58,서울특별시 종로구 종로5가 120-1,37.5714805,127.0000205
59,서울특별시 종로구 종로5가 120-2,37.5714574,127.0001477
60,서울특별시 종로구 종로5가 120-9,37.5714402,127.0002341
61,서울특별시 종로구 종로5가 120-11,37.5713963,127.0000851
62,서울특별시 종로구 종로5가 120-16,37.5713105,127.0001379
63,서울특별시 종로구 종로5가 120-18,37.5713617,127.0000680
64,서울특별시 종로구 종로5가 121-7,37.5714899,127.0003440
65,서울특별시 종로구 종로5가 194-1,37.5702564,127.0020017
66,서울특별시 종로구 종로5가 242-3,37.5709796,127.0051358
67,서울특별시 종로구 종로5가 242-5,37.5709287,127.0051344
68,서울특별시 종로구 종로5가 243-1,37.5709830,127.0052380
69,서울특별시 종로구 종로5가 243-3,37.5709306,127.0052342
70,서울특별시 종로구 종로5가 247-5,37.5703967,127.0053016
71,서울특별시 종로구 종로5가 247-6,37.5703362,127.0053879
72,서울특별시 종로구 종로5가 247-7,37.5703199,127.0054509
73,서울특별시 종로구 종로5가 247-8,37.5703096,127.0055090
74,서울특별시 종로구 종로5가 251-2,37.5703153,127.0055640
75,서울특별시 종로구 종로5가 253-1,37.5706699,127.0056089
76,서울특별시 종로구 종로5가 258-0,37.5709472,127.0055804
77,서울특별시 종로구 종로5가 265-9,37.5705698,127.0058343
78,서울특별시 종로구 종로5가 265-16,37.5706847,127.0055901
79,서울특별시 종로구 종로5가 266-2,37.5703057,127.0057899
80,서울특별시 종로구 종로5가 269-3,37.5709576,127.0060915
81,서울특별시 종로구 종로5가 280-3,37.5704059,127.0062128
82,서울특별시 종로구 종로5가 281-4,37.5700966,127.0066137
83,서울특별시 종로구 종로5가 281-16,37.5701233,127.0065759
84,서울특별시 종로구 종로5가 282-24,37.5702308,127.0052210
85,서울특별시 종로구 종로5가 409-4,37.5698730,127.0065664
86,서울특별시 종로구 종로5가 411-1,37.5697837,127.0066609
87,서울특별시 종로구 종로5가 411-4,37.5702116,127.0065974
88,서울특별시 종로구 종로5가 422-2,37.5698699,127.0063366
89,서울특별시 종로구 종로5가 423-0,37.5698503,127.0063308
90,서울특별시 종로구 종로5가 431-1,37.5698813,127.0062284
91,서울특별시 종로구 종로5가 431-2,37.5698617,127.0062233
92,서울특별시 종로구 종로5가 437-1,37.5698764,127.0060872
93,서울특별시 종로구 종로5가 440-3,37.5698451,127.0060818
94,서울특별시 종로구 종로5가 444-6,37.5700550,127.0060966
95,서울특별시 종로구 종로5가 449-0,37.5698479,127.0059499
96,서울특별시 종로구 종로5가 453-0,37.5698442,127.0057851
97,서울특별시 종로구 종로5가 458-1,37.5697103,127.0051157
98,서울특별시 종로구 종로5가 458-2,37.5696717,127.0025547
99,서울특별시 종로구 종로5가 468-2,37.5698480,127.0056128
100,서울특별시 종로구 종로5가 469-2,37.5698795,127.0055401
101,서울특별시 종로구 종로5가 469-3,37.5698447,127.0054907
102,서울특별시 종로구 종로5가 482-1,37.5698744,127.0053521
103,서울특별시 종로구 종로5가 482-2,37.5698426,127.0053590
104,서울특별시 종로구 종로5가 486-2,37.5700027,127.0053078
105,서울특별시 종로구 종로5가 486-3,37.5699324,127.0053313
106,서울특별시 종로구 종로5가 487-2,37.5698708,127.0052409
107,서울특별시 종로구 종로5가 487-3,37.5699135,127.0053272
108,서울특별시 종로구 종로5가 492-0,37.5698407,127.0052255
109,서울특별시 종로구 종로5가 493-5,37.5700098,127.0051115
110,서울특별시 종로구 종로6가 1-10,37.5744798,127.0085754
111,서울특별시 종로구 종로6가 1-16,37.5744110,127.0080976
112,서울특별시 종로구 종로6가 1-31,37.5743385,127.0082211
113,서울특별시 종로구 종로6가 1-75,37.5741023,127.0085449
114,서울특별시 종로구 종로6가 8-1,37.5741049,127.0076520
115,서울특별시 종로구 종로6가 11-14,37.5738389,127.0080052
116,서울특별시 종로구 종로6가 11-16,37.5736392,127.0076085
117,서울특별시 종로구 종로6가 12-7,37.5731218,127.0077061
118,서울특별시 종로구 종로6가 12-26,37.5731232,127.0080476
119,서울특별시 종로구 종로6가 12-33,37.5731599,127.0084315
120,서울특별시 종로구 종로6가 12-38,37.5732760,127.0078705
121,서울특별시 종로구 종로6가 12-46,37.5731008,127.0083503
122,서울특별시 종로구 종로6가 12-68,37.5737608,127.0086467
123,서울특별시 종로구 종로6가 12-73,37.5731764,127.0075016
124,서울특별시 종로구 종로6가 12-77,37.5735184,127.0086203
125,서울특별시 종로구 종로6가 12-78,37.5734649,127.0085859
126,서울특별시 종로구 종로6가 12-84,37.5728111,127.0077338
127,서울특별시 종로구 종로6가 15-4,37.5726699,127.0077319
128,서울특별시 종로구 종로6가 15-11,37.5724555,127.0080152
129,서울특별시 종로구 종로6가 19-1,37.5724647,127.0078983
130,서울특별시 종로구 종로6가 28-1,37.5733038,127.0072131
131,서울특별시 종로구 종로6가 28-5,37.5737295,127.0071158
132,서울특별시 종로구 종로6가 28-6,37.5735758,127.0075944
133,서울특별시 종로구 종로6가 28-7,37.5727336,127.0066289
134,서울특별시 종로구 종로6가 28-8,37.5723945,127.0065020
135,서울특별시 종로구 종로6가 28-9,37.5721007,127.0064941
136,서울특별시 종로구 종로6가 28-11,37.5723260,127.0071139
137,서울특별시 종로구 종로6가 28-12,37.5724250,127.0078198
138,서울특별시 종로구 종로6가 28-13,37.5724463,127.0078136
139,서울특별시 종로구 종로6가 33-6,37.5719064,127.0070754
140,서울특별시 종로구 종로6가 33-12,37.5716558,127.0070446
141,서울특별시 종로구 종로6가 33-46,37.5719039,127.0070252
142,서울특별시 종로구 종로6가 33-47,37.5718234,127.0069179
143,서울특별시 종로구 종로6가 36-6,37.5721082,127.0071663
144,서울특별시 종로구 종로6가 36-7,37.5719230,127.0070398
145,서울특별시 종로구 종로6가 42-3,37.5717790,127.0072150
146,서울특별시 종로구 종로6가 42-4,37.5717109,127.0073315
147,서울특별시 종로구 종로6가 43-5,37.5718151,127.0074743
148,서울특별시 종로구 종로6가 58-1,37.5722198,127.0082175
149,서울특별시 종로구 종로6가 60-2,37.5737184,127.0088216
150,서울특별시 종로구 종로6가 60-4,37.5722072,127.0082418
151,서울특별시 종로구 종로6가 60-5,37.5734981,127.0085977
152,서울특별시 종로구 종로6가 60-6,37.5734696,127.0086040
153,서울특별시 종로구 종로6가 60-7,37.5732468,127.0084451
154,서울특별시 종로구 종로6가 60-8,37.5730790,127.0084540
155,서울특별시 종로구 종로6가 60-9,37.5730490,127.0084503
156,서울특별시 종로구 종로6가 65-2,37.5715694,127.0094658
157,서울특별시 종로구 종로6가 65-5,37.5715991,127.0095283
158,서울특별시 종로구 종로6가 68-1,37.5715344,127.0093738
159,서울특별시 종로구 종로6가 68-2,37.5714847,127.0093743
160,서울특별시 종로구 종로6가 69-5,37.5718892,127.0096913
161,서울특별시 종로구 종로6가 70-2,37.5717961,127.0086468
162,서울특별시 종로구 종로6가 72-2,37.5713307,127.0090387
163,서울특별시 종로구 종로6가 72-11,37.5715523,127.0093110
164,서울특별시 종로구 종로6가 72-18,37.5713777,127.0088211
165,서울특별시 종로구 종로6가 73-1,37.5713244,127.0087913
166,서울특별시 종로구 종로6가 73-2,37.5712719,127.0087759
167,서울특별시 종로구 종로6가 73-3,37.5713018,127.0087865
168,서울특별시 종로구 종로6가 73-4,37.5713951,127.0087420
169,서울특별시 종로구 종로6가 78-2,37.5712749,127.0086330
170,서울특별시 종로구 종로6가 79-2,37.5712694,127.0085067
171,서울특별시 종로구 종로6가 81-2,37.5712736,127.0081893
172,서울특별시 종로구 종로6가 94-1,37.5710308,127.0080825
173,서울특별시 종로구 종로6가 94-3,37.5713598,127.0084573
174,서울특별시 종로구 종로6가 94-4,37.5717064,127.0080539
175,서울특별시 종로구 종로6가 94-5,37.5712959,127.0064045
176,서울특별시 종로구 종로6가 94-6,37.5712959,127.0064045
177,서울특별시 종로구 종로6가 94-7,37.5715653,127.0071330
178,서울특별시 종로구 종로6가 94-10,37.5717952,127.0083079
179,서울특별시 종로구 종로6가 94-12,37.5717691,127.0084276
180,서울특별시 종로구 종로6가 94-13,37.5715029,127.0065306
181,서울특별시 종로구 종로6가 94-16,37.5716954,127.0085717
182,서울특별시 종로구 종로6가 94-17,37.5714365,127.0085951
183,서울특별시 종로구 종로6가 94-18,37.5713882,127.0086756
184,서울특별시 종로구 종로6가 94-19,37.5717520,127.0096604
185,서울특별시 종로구 종로6가 114-2,37.5712823,127.0076586
186,서울특별시 종로구 종로6가 121-2,37.5712818,127.0073936
187,서울특별시 종로구 종로6가 123-2,37.5712695,127.0070013
188,서울특별시 종로구 종로6가 129-3,37.5716697,127.0068032
189,서울특별시 종로구 종로6가 130-2,37.5717873,127.0067967
190,서울특별시 종로구 종로6가 131-1,37.5717592,127.0067886
191,서울특별시 종로구 종로6가 134-0,37.5715524,127.0066460
192,서울특별시 종로구 종로6가 139-0,37.5717785,127.0066702
193,서울특별시 종로구 종로6가 140-3,37.5718057,127.0066715
194,서울특별시 종로구 종로6가 143-0,37.5719255,127.0066819
195,서울특별시 종로구 종로6가 146-3,37.5719412,127.0068467
196,서울특별시 종로구 종로6가 152-1,37.5722007,127.0066916
197,서울특별시 종로구 종로6가 155-3,37.5721621,127.0069785
198,서울특별시 종로구 종로6가 155-4,37.5720825,127.0069241
199,서울특별시 종로구 종로6가 176-0,37.5723371,127.0066251
200,서울특별시 종로구 종로6가 177-7,37.5723515,127.0066723
201,서울특별시 종로구 종로6가 178-2,37.5724949,127.0065550
202,서울특별시 종로구 종로6가 179-2,37.5725552,127.0065291
