,지번주소,위도,경도
0,서울특별시 용산구 용산동2가 4-8,37.5380589,126.9807381
1,서울특별시 용산구 용산동2가 5-1,37.5382184,126.9861909
2,서울특별시 용산구 용산동2가 5-39,37.5416267,126.9846389
3,서울특별시 용산구 용산동2가 5-64,37.5413051,126.9847012
4,서울특별시 용산구 용산동2가 5-67,37.5416639,126.9848134
5,서울특별시 용산구 용산동2가 5-86,37.5394687,126.9864801
6,서울특별시 용산구 용산동2가 5-99,37.5384228,126.9868343
7,서울특별시 용산구 용산동2가 5-100,37.5382982,126.9868368
8,서울특별시 용산구 용산동2가 5-104,37.5462289,126.9871672
9,서울특별시 용산구 용산동2가 5-105,37.5462693,126.9872520
10,서울특별시 용산구 용산동2가 5-106,37.5463008,126.9871831
11,서울특별시 용산구 용산동2가 5-107,37.5463314,126.9871190
12,서울특별시 용산구 용산동2가 5-108,37.5463570,126.9870555
13,서울특별시 용산구 용산동2가 5-109,37.5463596,126.9869663
14,서울특별시 용산구 용산동2가 5-110,37.5463781,126.9869926
15,서울특별시 용산구 용산동2가 5-111,37.5464010,126.9870169
16,서울특별시 용산구 용산동2가 5-112,37.5464212,126.9869542
17,서울특별시 용산구 용산동2가 5-113,37.5464407,126.9868480
18,서울특별시 용산구 용산동2가 5-114,37.5464896,126.9867723
19,서울특별시 용산구 용산동2가 5-115,37.5465520,126.9867473
20,서울특별시 용산구 용산동2가 5-116,37.5466183,126.9867444
21,서울특별시 용산구 용산동2가 5-117,37.5464776,126.9867018
22,서울특별시 용산구 용산동2가 5-118,37.5463888,126.9867642
23,서울특별시 용산구 용산동2가 5-119,37.5463258,126.9868466
24,서울특별시 용산구 용산동2가 5-120,37.5462800,126.9869709
25,서울특별시 용산구 용산동2가 5-121,37.5462559,126.9870942
26,서울특별시 용산구 용산동2가 5-394,37.5439551,126.9882620
27,서울특별시 용산구 용산동2가 5-395,37.5440464,126.9883254
28,서울특별시 용산구 용산동2가 5-396,37.5441396,126.9884159
29,서울특별시 용산구 용산동2가 5-398,37.5442447,126.9885018
30,서울특별시 용산구 용산동2가 5-399,37.5443348,126.9885793
31,서울특별시 용산구 용산동2가 5-400,37.5443832,126.9886692
32,서울특별시 용산구 용산동2가 5-422,37.5450440,126.9883547
33,서울특별시 용산구 용산동2가 5-423,37.5449189,126.9883086
34,서울특별시 용산구 용산동2가 5-424,37.5448564,126.9884376
35,서울특별시 용산구 용산동2가 5-425,37.5447827,126.9884648
36,서울특별시 용산구 용산동2가 5-427,37.5446714,126.9886061
37,서울특별시 용산구 용산동2가 5-429,37.5444685,126.9886978
38,서울특별시 용산구 용산동2가 5-430,37.5445729,126.9885659
39,서울특별시 용산구 용산동2가 5-432,37.5445328,126.9885210
40,서울특별시 용산구 용산동2가 5-434,37.5444780,126.9883418
41,서울특별시 용산구 용산동2가 5-439,37.5441525,126.9883213
42,서울특별시 용산구 용산동2가 5-440,37.5441732,126.9881899
43,서울특별시 용산구 용산동2가 5-445,37.5444004,126.9880992
44,서울특별시 용산구 용산동2가 5-454,37.5446216,126.9884927
45,서울특별시 용산구 용산동2가 5-456,37.5447257,126.9882724
46,서울특별시 용산구 용산동2가 5-468,37.5445931,126.9879992
47,서울특별시 용산구 용산동2가 5-469,37.5446524,126.9879687
48,서울특별시 용산구 용산동2가 5-480,37.5448713,126.9882017
49,서울특별시 용산구 용산동2가 5-554,37.5431445,126.9839001
50,서울특별시 용산구 용산동2가 5-1270,37.5447288,126.9886480
51,서울특별시 용산구 용산동2가 5-1271,37.5446136,126.9886557
52,서울특별시 용산구 용산동2가 5-1304,37.5434613,126.9885700
53,서울특별시 용산구 용산동2가 5-1412,37.5457623,126.9873273
54,서울특별시 용산구 용산동2가 5-1418,37.5457039,126.9881621
55,서울특별시 용산구 용산동2가 5-1419,37.5456987,126.9882377
56,서울특별시 용산구 용산동2가 5-1462,37.5453393,126.9886269
57,서울특별시 용산구 용산동2가 5-1474,37.5453371,126.9889378
58,서울특별시 용산구 용산동2가 5-1480,37.5457752,126.9880369
59,서울특별시 용산구 용산동2가 5-1484,37.5446477,126.9886962
60,서울특별시 용산구 용산동2가 5-1488,37.5448845,126.9891959
61,서울특별시 용산구 용산동2가 5-1494,37.5443445,126.9890427
62,서울특별시 용산구 용산동2가 5-1525,37.5438878,126.9889562
63,서울특별시 용산구 용산동2가 5-1526,37.5438383,126.9890339
64,서울특별시 용산구 용산동2가 5-1527,37.5438363,126.9889748
65,서울특별시 용산구 용산동2가 5-1528,37.5437835,126.9889422
66,서울특별시 용산구 용산동2가 5-1529,37.5443400,126.9887843
67,서울특별시 용산구 용산동2가 5-1534,37.5441774,126.9888729
68,서울특별시 용산구 용산동2가 5-1535,37.5441231,126.9889526
69,서울특별시 용산구 용산동2가 5-1541,37.5442239,126.9886014
70,서울특별시 용산구 용산동2가 5-1542,37.5441515,126.9885767
71,서울특별시 용산구 용산동2가 5-1544,37.5438905,126.9884806
72,서울특별시 용산구 용산동2가 5-1548,37.5440005,126.9886756
73,서울특별시 용산구 용산동2가 5-1550,37.5439219,126.9887325
74,서울특별시 용산구 용산동2가 5-1552,37.5438775,126.9888248
75,서울특별시 용산구 용산동2가 5-1553,37.5438100,126.9886948
76,서울특별시 용산구 용산동2가 5-1567,37.5437004,126.9886666
77,서울특별시 용산구 용산동2가 5-1575,37.5438203,126.9888253
78,서울특별시 용산구 용산동2가 5-1610,37.5385203,126.9868277
79,서울특별시 용산구 용산동2가 5-1619,37.5385853,126.9868455
80,서울특별시 용산구 용산동2가 5-1620,37.5383450,126.9867233
81,서울특별시 용산구 용산동2가 5-1634,37.5440052,126.9893240
82,서울특별시 용산구 용산동2가 5-1661,37.5434902,126.9888198
83,서울특별시 용산구 용산동2가 5-1663,37.5434721,126.9887670
84,서울특별시 용산구 용산동2가 5-1664,37.5434144,126.9887681
85,서울특별시 용산구 용산동2가 5-1719,37.5456585,126.9884530
86,서울특별시 용산구 용산동2가 5-1721,37.5455957,126.9887226
87,서울특별시 용산구 용산동2가 5-1722,37.5456081,126.9884901
88,서울특별시 용산구 용산동2가 5-1738,37.5457147,126.9882984
89,서울특별시 용산구 용산동2가 5-1739,37.5456579,126.9885199
90,서울특별시 용산구 용산동2가 5-1757,37.5405738,126.9867990
91,서울특별시 용산구 용산동2가 5-1788,37.5447069,126.9885063
92,서울특별시 용산구 용산동2가 5-1795,37.5441952,126.9888040
